time,var_1_int,var_2_int,var_3_int,var_4_int,var_5_int,var_1_value,var_2_value,var_3_value,var_4_value,var_5_value
0.062873,0,0,0,0,0,--vertices 100,--edges 500,--source 0,--target 0,--seed 1
0.079896,0,0,0,0,199999,--vertices 100,--edges 500,--source 0,--target 0,--seed 200000
0.076167,0,0,0,0,399998,--vertices 100,--edges 500,--source 0,--target 0,--seed 399999
0.063018,0,0,0,0,599997,--vertices 100,--edges 500,--source 0,--target 0,--seed 599998
0.063857,0,0,0,0,799996,--vertices 100,--edges 500,--source 0,--target 0,--seed 799997
0.064097,0,0,0,0,999995,--vertices 100,--edges 500,--source 0,--target 0,--seed 999996
0.061851,0,0,0,199,0,--vertices 100,--edges 500,--source 0,--target 199,--seed 1
0.062056,0,0,0,199,199999,--vertices 100,--edges 500,--source 0,--target 199,--seed 200000
0.063921,0,0,0,199,399998,--vertices 100,--edges 500,--source 0,--target 199,--seed 399999
0.079947,0,0,0,199,599997,--vertices 100,--edges 500,--source 0,--target 199,--seed 599998
0.063382,0,0,0,199,799996,--vertices 100,--edges 500,--source 0,--target 199,--seed 799997
0.063026,0,0,0,199,999995,--vertices 100,--edges 500,--source 0,--target 199,--seed 999996
0.062168,0,0,0,398,0,--vertices 100,--edges 500,--source 0,--target 398,--seed 1
0.061907,0,0,0,398,199999,--vertices 100,--edges 500,--source 0,--target 398,--seed 200000
0.062993,0,0,0,398,399998,--vertices 100,--edges 500,--source 0,--target 398,--seed 399999
0.063804,0,0,0,398,599997,--vertices 100,--edges 500,--source 0,--target 398,--seed 599998
0.077132,0,0,0,398,799996,--vertices 100,--edges 500,--source 0,--target 398,--seed 799997
0.078827,0,0,0,398,999995,--vertices 100,--edges 500,--source 0,--target 398,--seed 999996
0.078528,0,0,0,597,0,--vertices 100,--edges 500,--source 0,--target 597,--seed 1
0.079366,0,0,0,597,199999,--vertices 100,--edges 500,--source 0,--target 597,--seed 200000
0.078929,0,0,0,597,399998,--vertices 100,--edges 500,--source 0,--target 597,--seed 399999
0.063942,0,0,0,597,599997,--vertices 100,--edges 500,--source 0,--target 597,--seed 599998
0.063096,0,0,0,597,799996,--vertices 100,--edges 500,--source 0,--target 597,--seed 799997
0.062996,0,0,0,597,999995,--vertices 100,--edges 500,--source 0,--target 597,--seed 999996
0.063728,0,0,0,796,0,--vertices 100,--edges 500,--source 0,--target 796,--seed 1
0.062946,0,0,0,796,199999,--vertices 100,--edges 500,--source 0,--target 796,--seed 200000
0.063934,0,0,0,796,399998,--vertices 100,--edges 500,--source 0,--target 796,--seed 399999
0.064075,0,0,0,796,599997,--vertices 100,--edges 500,--source 0,--target 796,--seed 599998
0.063793,0,0,0,796,799996,--vertices 100,--edges 500,--source 0,--target 796,--seed 799997
0.079754,0,0,0,796,999995,--vertices 100,--edges 500,--source 0,--target 796,--seed 999996
0.062063,0,0,0,995,0,--vertices 100,--edges 500,--source 0,--target 995,--seed 1
0.062788,0,0,0,995,199999,--vertices 100,--edges 500,--source 0,--target 995,--seed 200000
0.063576,0,0,0,995,399998,--vertices 100,--edges 500,--source 0,--target 995,--seed 399999
0.063175,0,0,0,995,599997,--vertices 100,--edges 500,--source 0,--target 995,--seed 599998
0.063283,0,0,0,995,799996,--vertices 100,--edges 500,--source 0,--target 995,--seed 799997
0.063594,0,0,0,995,999995,--vertices 100,--edges 500,--source 0,--target 995,--seed 999996
0.063766,0,0,199,0,0,--vertices 100,--edges 500,--source 199,--target 0,--seed 1
0.062939,0,0,199,0,199999,--vertices 100,--edges 500,--source 199,--target 0,--seed 200000
0.078963,0,0,199,0,399998,--vertices 100,--edges 500,--source 199,--target 0,--seed 399999
0.078483,0,0,199,0,599997,--vertices 100,--edges 500,--source 199,--target 0,--seed 599998
0.079448,0,0,199,0,799996,--vertices 100,--edges 500,--source 199,--target 0,--seed 799997
0.079072,0,0,199,0,999995,--vertices 100,--edges 500,--source 199,--target 0,--seed 999996
0.079956,0,0,199,199,0,--vertices 100,--edges 500,--source 199,--target 199,--seed 1
0.07951,0,0,199,199,199999,--vertices 100,--edges 500,--source 199,--target 199,--seed 200000
0.077443,0,0,199,199,399998,--vertices 100,--edges 500,--source 199,--target 199,--seed 399999
0.077576,0,0,199,199,599997,--vertices 100,--edges 500,--source 199,--target 199,--seed 599998
0.062936,0,0,199,199,799996,--vertices 100,--edges 500,--source 199,--target 199,--seed 799997
