time,var_1_int,var_2_int,var_1_value,var_2_value
0.061996,0,0,--a 1,--b 1
0.095154,0,1,--a 1,--b 2
0.111003,0,2,--a 1,--b 3
0.1239,0,3,--a 1,--b 4
0.141309,0,4,--a 1,--b 5
0.156322,0,5,--a 1,--b 6
0.157623,0,6,--a 1,--b 7
0.171772,0,7,--a 1,--b 8
0.202597,0,8,--a 1,--b 9
0.217623,0,9,--a 1,--b 10
0.249407,10,0,--a 11,--b 1
0.171782,10,1,--a 11,--b 2
0.173349,10,2,--a 11,--b 3
0.142908,10,3,--a 11,--b 4
0.158751,10,4,--a 11,--b 5
0.158921,10,5,--a 11,--b 6
0.142055,10,6,--a 11,--b 7
0.159152,10,7,--a 11,--b 8
0.174306,10,8,--a 11,--b 9
0.237418,10,9,--a 11,--b 10
0.380229,20,0,--a 21,--b 1
0.239042,20,1,--a 21,--b 2
0.173393,20,2,--a 21,--b 3
0.203302,20,3,--a 21,--b 4
0.202964,20,4,--a 21,--b 5
0.139948,20,5,--a 21,--b 6
0.110891,20,6,--a 21,--b 7
0.171844,20,7,--a 21,--b 8
0.141969,20,8,--a 21,--b 9
0.266307,20,9,--a 21,--b 10
0.535459,30,0,--a 31,--b 1
0.314529,30,1,--a 31,--b 2
0.252321,30,2,--a 31,--b 3
0.219607,30,3,--a 31,--b 4
0.236315,30,4,--a 31,--b 5
0.238628,30,5,--a 31,--b 6
0.190239,30,6,--a 31,--b 7
0.222843,30,7,--a 31,--b 8
0.187918,30,8,--a 31,--b 9
0.250964,30,9,--a 31,--b 10
0.7068,40,0,--a 41,--b 1
0.422735,40,1,--a 41,--b 2
0.359218,40,2,--a 41,--b 3
0.31619,40,3,--a 41,--b 4
0.25443,40,4,--a 41,--b 5
0.234583,40,5,--a 41,--b 6
0.249509,40,6,--a 41,--b 7
0.264946,40,7,--a 41,--b 8
0.217859,40,8,--a 41,--b 9
0.28213,40,9,--a 41,--b 10
0.865459,50,0,--a 51,--b 1
0.518865,50,1,--a 51,--b 2
0.312443,50,2,--a 51,--b 3
0.300476,50,3,--a 51,--b 4
0.283603,50,4,--a 51,--b 5
0.218455,50,5,--a 51,--b 6
0.25197,50,6,--a 51,--b 7
0.253959,50,7,--a 51,--b 8
0.190007,50,8,--a 51,--b 9
0.301686,50,9,--a 51,--b 10
0.998288,60,0,--a 61,--b 1
0.551979,60,1,--a 61,--b 2
0.407135,60,2,--a 61,--b 3
0.347354,60,3,--a 61,--b 4
0.314725,60,4,--a 61,--b 5
0.299593,60,5,--a 61,--b 6
0.250852,60,6,--a 61,--b 7
0.234405,60,7,--a 61,--b 8
0.235233,60,8,--a 61,--b 9
0.295471,60,9,--a 61,--b 10
1.157097,70,0,--a 71,--b 1
0.638657,70,1,--a 71,--b 2
0.457978,70,2,--a 71,--b 3
0.390737,70,3,--a 71,--b 4
0.363549,70,4,--a 71,--b 5
0.333207,70,5,--a 71,--b 6
0.313476,70,6,--a 71,--b 7
0.296778,70,7,--a 71,--b 8
0.296981,70,8,--a 71,--b 9
0.313716,70,9,--a 71,--b 10
1.327635,80,0,--a 81,--b 1
0.713774,80,1,--a 81,--b 2
0.502231,80,2,--a 81,--b 3
0.434621,80,3,--a 81,--b 4
0.392208,80,4,--a 81,--b 5
0.284876,80,5,--a 81,--b 6
0.301361,80,6,--a 81,--b 7
0.343461,80,7,--a 81,--b 8
0.204649,80,8,--a 81,--b 9
0.34241,80,9,--a 81,--b 10
1.505582,90,0,--a 91,--b 1
0.796125,90,1,--a 91,--b 2
0.576327,90,2,--a 91,--b 3
0.471639,90,3,--a 91,--b 4
0.441334,90,4,--a 91,--b 5
0.373416,90,5,--a 91,--b 6
0.250251,90,6,--a 91,--b 7
0.297587,90,7,--a 91,--b 8
0.345214,90,8,--a 91,--b 9
0.358653,90,9,--a 91,--b 10
1.670653,100,0,--a 101,--b 1
0.863064,100,1,--a 101,--b 2
0.633324,100,2,--a 101,--b 3
0.547633,100,3,--a 101,--b 4
0.438774,100,4,--a 101,--b 5
0.406657,100,5,--a 101,--b 6
0.435303,100,6,--a 101,--b 7
0.345797,100,7,--a 101,--b 8
0.331023,100,8,--a 101,--b 9
0.357333,100,9,--a 101,--b 10
1.786944,110,0,--a 111,--b 1
0.956635,110,1,--a 111,--b 2
0.641493,110,2,--a 111,--b 3
0.54662,110,3,--a 111,--b 4
0.468454,110,4,--a 111,--b 5
0.378997,110,5,--a 111,--b 6
0.396061,110,6,--a 111,--b 7
0.376808,110,7,--a 111,--b 8
0.281075,110,8,--a 111,--b 9
0.380049,110,9,--a 111,--b 10
1.96713,120,0,--a 121,--b 1
1.036506,120,1,--a 121,--b 2
0.722863,120,2,--a 121,--b 3
0.593226,120,3,--a 121,--b 4
0.498603,120,4,--a 121,--b 5
0.47139,120,5,--a 121,--b 6
0.409886,120,6,--a 121,--b 7
0.421752,120,7,--a 121,--b 8
0.377597,120,8,--a 121,--b 9
0.44504,120,9,--a 121,--b 10
2.121971,130,0,--a 131,--b 1
1.10473,130,1,--a 131,--b 2
0.788391,130,2,--a 131,--b 3
0.646994,130,3,--a 131,--b 4
0.542476,130,4,--a 131,--b 5
0.477585,130,5,--a 131,--b 6
0.415677,130,6,--a 131,--b 7
0.395994,130,7,--a 131,--b 8
0.361704,130,8,--a 131,--b 9
0.453458,130,9,--a 131,--b 10
2.333637,140,0,--a 141,--b 1
1.183531,140,1,--a 141,--b 2
0.797966,140,2,--a 141,--b 3
0.669298,140,3,--a 141,--b 4
0.570035,140,4,--a 141,--b 5
0.448015,140,5,--a 141,--b 6
0.479103,140,6,--a 141,--b 7
0.393367,140,7,--a 141,--b 8
0.329996,140,8,--a 141,--b 9
0.422399,140,9,--a 141,--b 10
2.465298,150,0,--a 151,--b 1
1.263246,150,1,--a 151,--b 2
0.90087,150,2,--a 151,--b 3
0.709332,150,3,--a 151,--b 4
0.598019,150,4,--a 151,--b 5
0.531749,150,5,--a 151,--b 6
0.453335,150,6,--a 151,--b 7
0.455285,150,7,--a 151,--b 8
0.413293,150,8,--a 151,--b 9
0.43997,150,9,--a 151,--b 10
2.585249,160,0,--a 161,--b 1
1.402003,160,1,--a 161,--b 2
0.926268,160,2,--a 161,--b 3
0.748539,160,3,--a 161,--b 4
0.64327,160,4,--a 161,--b 5
0.554768,160,5,--a 161,--b 6
0.420954,160,6,--a 161,--b 7
0.485811,160,7,--a 161,--b 8
0.469512,160,8,--a 161,--b 9
0.483306,160,9,--a 161,--b 10
2.792199,170,0,--a 171,--b 1
1.424918,170,1,--a 171,--b 2
0.947617,170,2,--a 171,--b 3
0.800629,170,3,--a 171,--b 4
0.664601,170,4,--a 171,--b 5
0.532242,170,5,--a 171,--b 6
0.521477,170,6,--a 171,--b 7
0.455835,170,7,--a 171,--b 8
0.365525,170,8,--a 171,--b 9
0.482575,170,9,--a 171,--b 10
2.917054,180,0,--a 181,--b 1
1.529922,180,1,--a 181,--b 2
1.060585,180,2,--a 181,--b 3
0.823702,180,3,--a 181,--b 4
0.713903,180,4,--a 181,--b 5
0.617122,180,5,--a 181,--b 6
0.566985,180,6,--a 181,--b 7
0.486714,180,7,--a 181,--b 8
0.512746,180,8,--a 181,--b 9
0.482635,180,9,--a 181,--b 10
3.123115,190,0,--a 191,--b 1
1.568865,190,1,--a 191,--b 2
1.087505,190,2,--a 191,--b 3
0.916727,190,3,--a 191,--b 4
0.739121,190,4,--a 191,--b 5
0.631192,190,5,--a 191,--b 6
0.587849,190,6,--a 191,--b 7
0.538651,190,7,--a 191,--b 8
0.476915,190,8,--a 191,--b 9
0.510225,190,9,--a 191,--b 10
3.298756,200,0,--a 201,--b 1
1.701823,200,1,--a 201,--b 2
1.119349,200,2,--a 201,--b 3
0.893523,200,3,--a 201,--b 4
0.773411,200,4,--a 201,--b 5
0.610611,200,5,--a 201,--b 6
0.559627,200,6,--a 201,--b 7
0.563324,200,7,--a 201,--b 8
0.443361,200,8,--a 201,--b 9
0.537884,200,9,--a 201,--b 10
3.380119,210,0,--a 211,--b 1
1.733495,210,1,--a 211,--b 2
1.189364,210,2,--a 211,--b 3
0.927125,210,3,--a 211,--b 4
0.797869,210,4,--a 211,--b 5
0.726479,210,5,--a 211,--b 6
0.647483,210,6,--a 211,--b 7
0.547553,210,7,--a 211,--b 8
0.551347,210,8,--a 211,--b 9
0.552384,210,9,--a 211,--b 10
3.624427,220,0,--a 221,--b 1
1.811271,220,1,--a 221,--b 2
1.248797,220,2,--a 221,--b 3
0.974905,220,3,--a 221,--b 4
0.828304,220,4,--a 221,--b 5
0.72471,220,5,--a 221,--b 6
0.618975,220,6,--a 221,--b 7
0.569788,220,7,--a 221,--b 8
0.519859,220,8,--a 221,--b 9
0.561184,220,9,--a 221,--b 10
3.757682,230,0,--a 231,--b 1
1.875516,230,1,--a 231,--b 2
1.265687,230,2,--a 231,--b 3
1.011471,230,3,--a 231,--b 4
0.85858,230,4,--a 231,--b 5
0.680921,230,5,--a 231,--b 6
0.568403,230,6,--a 231,--b 7
0.615591,230,7,--a 231,--b 8
0.492807,230,8,--a 231,--b 9
0.597856,230,9,--a 231,--b 10
3.865244,240,0,--a 241,--b 1
1.97595,240,1,--a 241,--b 2
1.362862,240,2,--a 241,--b 3
1.082601,240,3,--a 241,--b 4
0.892113,240,4,--a 241,--b 5
0.797157,240,5,--a 241,--b 6
0.663756,240,6,--a 241,--b 7
0.661039,240,7,--a 241,--b 8
0.561298,240,8,--a 241,--b 9
0.615939,240,9,--a 241,--b 10
4.046619,250,0,--a 251,--b 1
2.086042,250,1,--a 251,--b 2
1.429511,250,2,--a 251,--b 3
1.125774,250,3,--a 251,--b 4
0.911879,250,4,--a 251,--b 5
0.80344,250,5,--a 251,--b 6
0.722527,250,6,--a 251,--b 7
0.617911,250,7,--a 251,--b 8
0.617271,250,8,--a 251,--b 9
0.614408,250,9,--a 251,--b 10
4.160908,260,0,--a 261,--b 1
2.144193,260,1,--a 261,--b 2
1.435047,260,2,--a 261,--b 3
1.124674,260,3,--a 261,--b 4
0.945231,260,4,--a 261,--b 5
0.815031,260,5,--a 261,--b 6
0.734717,260,6,--a 261,--b 7
0.636999,260,7,--a 261,--b 8
0.515292,260,8,--a 261,--b 9
0.673228,260,9,--a 261,--b 10
4.31635,270,0,--a 271,--b 1
2.242794,270,1,--a 271,--b 2
1.536956,270,2,--a 271,--b 3
1.184847,270,3,--a 271,--b 4
1.053187,270,4,--a 271,--b 5
0.855353,270,5,--a 271,--b 6
0.744952,270,6,--a 271,--b 7
0.715268,270,7,--a 271,--b 8
0.689627,270,8,--a 271,--b 9
0.651009,270,9,--a 271,--b 10
4.682821,280,0,--a 281,--b 1
2.298993,280,1,--a 281,--b 2
1.567719,280,2,--a 281,--b 3
