time,var_1_int,var_2_int,var_1_value,var_2_value
5.389154,654,1,--a 655,--b 2
0.217575,25,4,--a 26,--b 5
1.177042,250,3,--a 251,--b 4
1.212419,142,1,--a 143,--b 2
1.345179,692,8,--a 693,--b 9
0.200383,89,9,--a 90,--b 10
6.953575,432,0,--a 433,--b 1
0.328815,30,1,--a 31,--b 2
0.937756,223,3,--a 224,--b 4
0.970543,517,9,--a 518,--b 10
0.235272,27,8,--a 28,--b 9
0.464039,203,8,--a 204,--b 9
1.809319,429,3,--a 430,--b 4
0.80315,459,9,--a 460,--b 10
4.557351,284,0,--a 285,--b 1
4.34914,777,2,--a 778,--b 3
1.751463,714,6,--a 715,--b 7
1.221992,348,4,--a 349,--b 5
0.690631,159,3,--a 160,--b 4
2.645785,980,5,--a 981,--b 6
0.932906,104,1,--a 105,--b 2
3.121819,389,1,--a 390,--b 2
1.058237,367,5,--a 368,--b 6
2.124357,618,4,--a 619,--b 5
13.202294,826,0,--a 827,--b 1
1.554388,747,7,--a 748,--b 8
4.438938,549,1,--a 550,--b 2
2.392871,996,6,--a 997,--b 7
0.203307,80,8,--a 81,--b 9
0.686835,300,9,--a 301,--b 10
2.534137,906,5,--a 907,--b 6
2.393726,591,3,--a 592,--b 4
5.776379,721,1,--a 722,--b 2
0.301969,46,3,--a 47,--b 4
2.670566,791,4,--a 792,--b 5
0.421928,81,3,--a 82,--b 4
7.051425,887,1,--a 888,--b 2
1.280967,389,4,--a 390,--b 5
1.299572,464,5,--a 465,--b 6
0.580507,166,5,--a 167,--b 6
1.50634,363,3,--a 364,--b 4
2.319016,686,4,--a 687,--b 5
5.715366,718,1,--a 719,--b 2
3.313437,623,2,--a 624,--b 3
2.253251,546,3,--a 547,--b 4
0.393103,167,7,--a 168,--b 8
1.345439,388,4,--a 389,--b 5
1.760955,947,8,--a 948,--b 9
0.683106,224,5,--a 225,--b 6
13.955708,863,0,--a 864,--b 1
3.851743,234,0,--a 235,--b 1
2.239902,824,5,--a 825,--b 6
1.512514,410,4,--a 411,--b 5
0.326031,67,3,--a 68,--b 4
1.630426,935,9,--a 936,--b 10
2.442906,897,5,--a 898,--b 6
0.543081,217,7,--a 218,--b 8
0.907245,405,7,--a 406,--b 8
0.58573,146,4,--a 147,--b 5
0.684244,142,3,--a 143,--b 4
1.516327,762,8,--a 763,--b 9
1.945074,551,4,--a 552,--b 5
1.285837,764,9,--a 765,--b 10
0.907622,438,9,--a 439,--b 10
1.256972,408,5,--a 409,--b 6
1.243285,224,2,--a 225,--b 3
1.164604,521,7,--a 522,--b 8
1.545107,93,0,--a 94,--b 1
7.039328,881,1,--a 882,--b 2
1.00648,156,2,--a 157,--b 3
1.892957,811,6,--a 812,--b 7
4.925545,610,1,--a 611,--b 2
1.017766,394,6,--a 395,--b 7
1.349904,610,7,--a 611,--b 8
1.820218,541,4,--a 542,--b 5
1.905498,994,8,--a 995,--b 9
14.193456,881,0,--a 882,--b 1
5.556507,696,1,--a 697,--b 2
1.38433,698,8,--a 699,--b 9
2.550767,768,4,--a 769,--b 5
2.151031,787,5,--a 788,--b 6
0.409117,114,4,--a 115,--b 5
2.42353,445,2,--a 446,--b 3
7.371125,464,0,--a 465,--b 1
3.275,976,4,--a 977,--b 5
1.8832,995,8,--a 996,--b 9
4.19255,780,2,--a 781,--b 3
4.328782,519,1,--a 520,--b 2
2.930941,891,4,--a 892,--b 5
1.64962,861,8,--a 862,--b 9
2.560643,623,3,--a 624,--b 4
0.590747,156,5,--a 157,--b 6
1.134105,552,8,--a 553,--b 9
15.81097,940,0,--a 941,--b 1
1.706317,613,5,--a 614,--b 6
8.030666,500,0,--a 501,--b 1
0.450066,114,5,--a 115,--b 6
2.887378,899,4,--a 900,--b 5
3.982363,245,0,--a 246,--b 1
0.551277,246,9,--a 247,--b 10
7.920762,969,1,--a 970,--b 2
0.235263,87,7,--a 88,--b 8
6.657201,835,1,--a 836,--b 2
1.496141,778,8,--a 779,--b 9
4.193286,784,2,--a 785,--b 3
0.355565,131,7,--a 132,--b 8
1.830401,969,8,--a 970,--b 9
0.592696,169,4,--a 170,--b 5
1.0774,540,9,--a 541,--b 10
1.823506,433,3,--a 434,--b 4
1.891585,951,8,--a 952,--b 9
3.113605,773,3,--a 774,--b 4
2.427296,730,4,--a 731,--b 5
1.003667,448,8,--a 449,--b 9
3.71976,462,1,--a 463,--b 2
1.051859,253,3,--a 254,--b 4
0.233569,65,5,--a 66,--b 6
0.171275,21,9,--a 22,--b 10
2.3238,567,3,--a 568,--b 4
2.512396,602,3,--a 603,--b 4
0.140447,7,1,--a 8,--b 2
11.612236,724,0,--a 725,--b 1
1.929889,234,1,--a 235,--b 2
14.695072,927,0,--a 928,--b 1
2.458003,880,5,--a 881,--b 6
0.328386,72,8,--a 73,--b 9
0.890805,243,4,--a 244,--b 5
1.478183,685,7,--a 686,--b 8
0.563847,219,8,--a 220,--b 9
0.330596,135,9,--a 136,--b 10
1.328449,590,7,--a 591,--b 8
0.680437,248,7,--a 249,--b 8
2.012277,826,6,--a 827,--b 7
1.626603,194,1,--a 195,--b 2
0.363007,99,6,--a 100,--b 7
0.986091,362,6,--a 363,--b 7
0.970873,420,7,--a 421,--b 8
14.693612,884,0,--a 885,--b 1
5.579625,689,1,--a 690,--b 2
0.202998,62,6,--a 63,--b 7
2.159328,745,5,--a 746,--b 6
6.583211,819,1,--a 820,--b 2
1.108742,254,3,--a 255,--b 4
0.439393,194,8,--a 195,--b 9
2.594153,459,2,--a 460,--b 3
2.365447,432,2,--a 433,--b 3
0.722122,285,7,--a 286,--b 8
2.278119,255,1,--a 256,--b 2
0.953151,453,8,--a 454,--b 9
1.68573,100,0,--a 101,--b 1
1.315133,667,8,--a 668,--b 9
13.794708,856,0,--a 857,--b 1
8.10881,992,1,--a 993,--b 2
3.849767,948,3,--a 949,--b 4
0.516015,170,6,--a 171,--b 7
1.097671,497,7,--a 498,--b 8
0.628984,218,6,--a 219,--b 7
14.926563,924,0,--a 925,--b 1
0.558366,168,6,--a 169,--b 7
0.15664,2,6,--a 3,--b 7
0.595154,271,7,--a 272,--b 8
0.85993,292,6,--a 293,--b 7
1.351862,713,8,--a 714,--b 9
1.438562,677,7,--a 678,--b 8
0.730736,158,3,--a 159,--b 4
1.256315,303,3,--a 304,--b 4
15.69707,991,0,--a 992,--b 1
1.108538,593,8,--a 594,--b 9
0.25033,62,5,--a 63,--b 6
0.997975,58,0,--a 59,--b 1
1.346428,598,7,--a 599,--b 8
1.050698,514,8,--a 515,--b 9
2.591419,161,0,--a 162,--b 1
1.862702,983,8,--a 984,--b 9
0.528263,82,2,--a 83,--b 3
0.329372,70,9,--a 71,--b 10
0.36001,69,3,--a 70,--b 4
3.327256,413,1,--a 414,--b 2
1.614675,964,9,--a 965,--b 10
0.57967,252,9,--a 253,--b 10
10.386796,608,0,--a 609,--b 1
5.419732,634,1,--a 635,--b 2
0.731427,429,9,--a 430,--b 10
1.112501,578,8,--a 579,--b 9
1.187182,323,4,--a 324,--b 5
0.654569,209,5,--a 210,--b 6
0.842746,244,4,--a 245,--b 5
2.279016,405,2,--a 406,--b 3
2.281821,687,4,--a 688,--b 5
1.376012,468,5,--a 469,--b 6
7.640554,951,1,--a 952,--b 2
0.15825,9,7,--a 10,--b 8
1.186915,636,9,--a 637,--b 10
0.902068,102,1,--a 103,--b 2
2.30296,550,3,--a 551,--b 4
1.740842,518,4,--a 519,--b 5
0.469648,135,5,--a 136,--b 6
7.182109,902,1,--a 903,--b 2
3.643124,900,3,--a 901,--b 4
1.310924,378,4,--a 379,--b 5
7.612896,455,0,--a 456,--b 1
5.594532,704,1,--a 705,--b 2
14.248376,886,0,--a 887,--b 1
0.169888,16,4,--a 17,--b 5
5.658349,693,1,--a 694,--b 2
14.399142,851,0,--a 852,--b 1
4.840383,611,1,--a 612,--b 2
9.680561,610,0,--a 611,--b 1
0.17142,17,4,--a 18,--b 5
7.798056,896,1,--a 897,--b 2
16.048909,999,0,--a 1000,--b 1
1.361501,694,8,--a 695,--b 9
5.447322,682,1,--a 683,--b 2
5.809079,719,1,--a 720,--b 2
15.027782,922,0,--a 923,--b 1
9.799706,607,0,--a 608,--b 1
6.686546,837,1,--a 838,--b 2
5.800996,720,1,--a 721,--b 2
7.031021,428,0,--a 429,--b 1
14.652791,889,0,--a 890,--b 1
13.669134,864,0,--a 865,--b 1
14.464808,855,0,--a 856,--b 1
7.989991,991,1,--a 992,--b 2
14.398769,890,0,--a 891,--b 1
14.178108,887,0,--a 888,--b 1
6.685053,824,1,--a 825,--b 2
5.472244,662,1,--a 663,--b 2
5.38703,663,1,--a 664,--b 2
7.802771,884,1,--a 885,--b 2
14.002261,876,0,--a 877,--b 1
14.572544,916,0,--a 917,--b 1
14.940189,923,0,--a 924,--b 1
6.945248,425,0,--a 426,--b 1
10.432434,613,0,--a 614,--b 1
7.090633,878,1,--a 879,--b 2
5.97676,726,1,--a 727,--b 2
4.573024,285,0,--a 286,--b 1
13.320137,830,0,--a 831,--b 1
7.716344,960,1,--a 961,--b 2
7.295986,460,0,--a 461,--b 1
15.553581,929,0,--a 930,--b 1
7.271263,909,1,--a 910,--b 2
6.985334,433,0,--a 434,--b 1
14.937939,934,0,--a 935,--b 1
16.02468,989,0,--a 990,--b 1
15.502153,930,0,--a 931,--b 1
4.94784,618,1,--a 619,--b 2
15.124065,933,0,--a 934,--b 1
5.809899,723,1,--a 724,--b 2
7.492476,469,0,--a 470,--b 1
13.708019,861,0,--a 862,--b 1
11.902734,715,0,--a 716,--b 1
7.125011,879,1,--a 880,--b 2
15.951826,983,0,--a 984,--b 1
16.054722,998,0,--a 999,--b 1
14.042152,862,0,--a 863,--b 1
7.374804,897,1,--a 898,--b 2
14.10627,869,0,--a 870,--b 1
14.470572,878,0,--a 879,--b 1
5.879026,725,1,--a 726,--b 2
8.302111,504,0,--a 505,--b 1
5.11655,626,1,--a 627,--b 2
15.973206,994,0,--a 995,--b 1
5.29028,648,1,--a 649,--b 2
15.137106,931,0,--a 932,--b 1
16.254995,996,0,--a 997,--b 1
7.966576,998,1,--a 999,--b 2
14.120109,860,0,--a 861,--b 1
14.049148,873,0,--a 874,--b 1
5.332708,655,1,--a 656,--b 2
15.989332,997,0,--a 998,--b 1
14.208049,877,0,--a 878,--b 1
5.961022,716,1,--a 717,--b 2
15.017744,936,0,--a 937,--b 1
7.12285,873,1,--a 874,--b 2
8.256353,509,0,--a 510,--b 1
13.732843,853,0,--a 854,--b 1
13.564825,819,0,--a 820,--b 1
7.770359,978,1,--a 979,--b 2
7.373435,463,0,--a 464,--b 1
11.489288,717,0,--a 718,--b 1
8.202638,508,0,--a 509,--b 1
7.048811,439,0,--a 440,--b 1
5.948937,729,1,--a 730,--b 2
5.753504,715,1,--a 716,--b 2
14.200606,850,0,--a 851,--b 1
5.591017,697,1,--a 698,--b 2
5.733887,717,1,--a 718,--b 2
6.93299,839,1,--a 840,--b 2
16.017504,982,0,--a 983,--b 1
4.448474,279,0,--a 280,--b 1
15.963651,986,0,--a 987,--b 1
0.281509,91,9,--a 92,--b 10
7.858758,495,0,--a 496,--b 1
13.388887,828,0,--a 829,--b 1
9.556706,605,0,--a 606,--b 1
4.519607,557,1,--a 558,--b 2
6.676012,830,1,--a 831,--b 2
14.335045,880,0,--a 881,--b 1
4.687457,553,1,--a 554,--b 2
13.672908,852,0,--a 853,--b 1
9.491207,600,0,--a 601,--b 1
13.9678,872,0,--a 873,--b 1
7.843251,993,1,--a 994,--b 2
16.968569,990,0,--a 991,--b 1
6.613205,826,1,--a 827,--b 2
14.670401,893,0,--a 894,--b 1
11.627838,725,0,--a 726,--b 1
9.966074,617,0,--a 618,--b 1
16.132482,947,0,--a 948,--b 1
10.014732,612,0,--a 613,--b 1
6.155035,722,1,--a 723,--b 2
11.850363,727,0,--a 728,--b 1
6.998691,882,1,--a 883,--b 2
8.192095,503,0,--a 504,--b 1
6.74619,844,1,--a 845,--b 2
8.551987,983,1,--a 984,--b 2
4.617899,558,1,--a 559,--b 2
7.726777,974,1,--a 975,--b 2
4.350041,773,2,--a 774,--b 3
15.327053,932,0,--a 933,--b 1
7.491563,944,1,--a 945,--b 2
8.04751,989,1,--a 990,--b 2
7.547419,954,1,--a 955,--b 2
15.039911,918,0,--a 919,--b 1
14.243226,891,0,--a 892,--b 1
5.215433,659,1,--a 660,--b 2
4.951441,615,1,--a 616,--b 2
1.416136,700,8,--a 701,--b 9
4.632203,291,0,--a 292,--b 1
6.619172,833,1,--a 834,--b 2
7.800815,493,0,--a 494,--b 1
13.43898,834,0,--a 835,--b 1
9.903043,603,0,--a 604,--b 1
15.860076,995,0,--a 996,--b 1
11.878524,732,0,--a 733,--b 1
7.815816,984,1,--a 985,--b 2
0.281796,93,9,--a 94,--b 10
5.03391,293,0,--a 294,--b 1
7.991388,942,1,--a 943,--b 2
13.339111,829,0,--a 830,--b 1
7.479623,910,1,--a 911,--b 2
7.633616,949,1,--a 950,--b 2
8.086939,506,0,--a 507,--b 1
5.122998,630,1,--a 631,--b 2
15.22036,935,0,--a 936,--b 1
6.760049,823,1,--a 824,--b 2
7.745384,965,1,--a 966,--b 2
13.542548,859,0,--a 860,--b 1
4.993445,614,1,--a 615,--b 2
0.298332,82,9,--a 83,--b 10
15.01422,948,0,--a 949,--b 1
12.494549,722,0,--a 723,--b 1
4.31739,541,1,--a 542,--b 2
5.690697,688,1,--a 689,--b 2
13.118357,820,0,--a 821,--b 1
13.197026,835,0,--a 836,--b 1
4.335056,786,2,--a 787,--b 3
7.706616,465,0,--a 466,--b 1
8.266527,502,0,--a 503,--b 1
15.725234,975,0,--a 976,--b 1
15.403495,938,0,--a 939,--b 1
16.224448,985,0,--a 986,--b 1
14.909301,926,0,--a 927,--b 1
14.993798,945,0,--a 946,--b 1
15.515896,937,0,--a 938,--b 1
16.137468,954,0,--a 955,--b 1
16.025763,988,0,--a 989,--b 1
14.854411,921,0,--a 922,--b 1
15.760728,992,0,--a 993,--b 1
15.355406,944,0,--a 945,--b 1
16.630523,984,0,--a 985,--b 1
15.260648,928,0,--a 929,--b 1
3.271734,981,4,--a 982,--b 5
16.069578,939,0,--a 940,--b 1
14.495114,900,0,--a 901,--b 1
16.287506,993,0,--a 994,--b 1
14.743673,917,0,--a 918,--b 1
1.230174,625,8,--a 626,--b 9
16.197244,942,0,--a 943,--b 1
15.14774,941,0,--a 942,--b 1
15.756895,957,0,--a 958,--b 1
14.536278,892,0,--a 893,--b 1
15.946442,987,0,--a 988,--b 1
14.330679,896,0,--a 897,--b 1
3.145121,979,4,--a 980,--b 5
15.601113,952,0,--a 953,--b 1
14.621429,920,0,--a 921,--b 1
4.205658,729,2,--a 730,--b 3
15.457599,956,0,--a 957,--b 1
15.2486,943,0,--a 944,--b 1
14.663437,910,0,--a 911,--b 1
1.223704,626,8,--a 627,--b 9
3.351117,994,4,--a 995,--b 5
14.570478,882,0,--a 883,--b 1
4.054998,732,2,--a 733,--b 3
15.09061,950,0,--a 951,--b 1
16.005182,977,0,--a 978,--b 1
15.784072,981,0,--a 982,--b 1
16.140503,925,0,--a 926,--b 1
15.27201,951,0,--a 952,--b 1
15.768705,980,0,--a 981,--b 1
15.859005,949,0,--a 950,--b 1
15.378357,946,0,--a 947,--b 1
2.522476,449,2,--a 450,--b 3
14.416359,898,0,--a 899,--b 1
14.45984,895,0,--a 896,--b 1
14.947873,919,0,--a 920,--b 1
14.312507,899,0,--a 900,--b 1
2.41861,446,2,--a 447,--b 3
1.181384,473,6,--a 474,--b 7
15.683255,974,0,--a 975,--b 1
1.27096,634,8,--a 635,--b 9
1.502222,846,9,--a 847,--b 10
1.253385,636,8,--a 637,--b 9
15.19116,909,0,--a 910,--b 1
1.18684,471,6,--a 472,--b 7
16.761701,976,0,--a 977,--b 1
1.20392,635,8,--a 636,--b 9
14.860032,914,0,--a 915,--b 1
3.963961,731,2,--a 732,--b 3
3.861853,717,2,--a 718,--b 3
15.512211,953,0,--a 954,--b 1
3.326709,997,4,--a 998,--b 5
15.136397,888,0,--a 889,--b 1
15.695433,979,0,--a 980,--b 1
3.222585,982,4,--a 983,--b 5
14.268567,879,0,--a 880,--b 1
3.945553,730,2,--a 731,--b 3
1.263686,479,6,--a 480,--b 7
16.352227,955,0,--a 956,--b 1
2.409878,437,2,--a 438,--b 3
1.719458,784,7,--a 785,--b 8
1.47234,760,8,--a 761,--b 9
1.386097,743,8,--a 744,--b 9
1.511184,753,8,--a 754,--b 9
14.781719,913,0,--a 914,--b 1
16.03599,978,0,--a 979,--b 1
1.519899,838,9,--a 839,--b 10
1.36987,746,8,--a 747,--b 9
1.502363,754,8,--a 755,--b 9
1.359676,755,8,--a 756,--b 9
2.379096,439,2,--a 440,--b 3
1.452341,751,8,--a 752,--b 9
15.146734,901,0,--a 902,--b 1
2.499537,454,2,--a 455,--b 3
1.516166,748,8,--a 749,--b 9
1.404113,630,8,--a 631,--b 9
14.617622,911,0,--a 912,--b 1
1.43848,854,9,--a 855,--b 10
2.362161,440,2,--a 441,--b 3
4.129085,727,2,--a 728,--b 3
1.503098,747,8,--a 748,--b 9
3.870679,719,2,--a 720,--b 3
2.542419,438,2,--a 439,--b 3
1.269325,631,8,--a 632,--b 9
3.357416,991,4,--a 992,--b 5
2.485725,451,2,--a 452,--b 3
15.336041,902,0,--a 903,--b 1
1.451544,841,9,--a 842,--b 10
2.429509,447,2,--a 448,--b 3
2.385357,443,2,--a 444,--b 3
15.012604,915,0,--a 916,--b 1
3.802552,716,2,--a 717,--b 3
1.12665,475,6,--a 476,--b 7
1.440268,758,8,--a 759,--b 9
3.468267,980,4,--a 981,--b 5
1.137583,468,6,--a 469,--b 7
14.68645,912,0,--a 913,--b 1
1.233255,624,8,--a 625,--b 9
15.403193,973,0,--a 974,--b 1
1.201372,485,6,--a 486,--b 7
3.965429,725,2,--a 726,--b 3
3.952518,733,2,--a 734,--b 3
1.45501,853,9,--a 854,--b 10
1.405113,749,8,--a 750,--b 9
3.370883,992,4,--a 993,--b 5
1.220738,470,6,--a 471,--b 7
1.738167,792,7,--a 793,--b 8
14.499428,897,0,--a 898,--b 1
14.034086,885,0,--a 886,--b 1
1.700571,791,7,--a 792,--b 8
1.726842,801,7,--a 802,--b 8
14.910706,908,0,--a 909,--b 1
1.678685,793,7,--a 794,--b 8
3.248301,989,4,--a 990,--b 5
14.2665,894,0,--a 895,--b 1
1.524088,742,8,--a 743,--b 9
14.146653,883,0,--a 884,--b 1
2.431384,441,2,--a 442,--b 3
3.892878,728,2,--a 729,--b 3
1.657334,789,7,--a 790,--b 8
1.253093,483,6,--a 484,--b 7
4.009815,726,2,--a 727,--b 3
1.622166,745,8,--a 746,--b 9
3.305792,993,4,--a 994,--b 5
0.811284,278,5,--a 279,--b 6
2.452764,452,2,--a 453,--b 3
3.859561,721,2,--a 722,--b 3
1.238116,481,6,--a 482,--b 7
3.840141,722,2,--a 723,--b 3
3.333858,983,4,--a 984,--b 5
1.794761,790,7,--a 791,--b 8
1.547285,756,8,--a 757,--b 9
1.641717,795,7,--a 796,--b 8
1.203738,623,8,--a 624,--b 9
1.199583,478,6,--a 479,--b 7
3.915185,724,2,--a 725,--b 3
1.528352,840,9,--a 841,--b 10
3.261129,986,4,--a 987,--b 5
3.159187,984,4,--a 985,--b 5
1.827271,802,7,--a 803,--b 8
1.31425,477,6,--a 478,--b 7
3.986125,720,2,--a 721,--b 3
1.371584,637,8,--a 638,--b 9
1.65354,799,7,--a 800,--b 8
3.291331,990,4,--a 991,--b 5
1.685375,788,7,--a 789,--b 8
1.520755,848,9,--a 849,--b 10
2.468791,448,2,--a 449,--b 3
0.312186,127,7,--a 128,--b 8
15.498283,968,0,--a 969,--b 1
1.594128,195,1,--a 196,--b 2
2.168749,401,2,--a 402,--b 3
15.233415,958,0,--a 959,--b 1
15.536471,971,0,--a 972,--b 1
15.325875,961,0,--a 962,--b 1
1.557074,370,3,--a 371,--b 4
15.288052,967,0,--a 968,--b 1
