time,var_1_int,var_2_int,var_1_value,var_2_value
0.094422,0,0,--a 1,--b 1
0.11197,0,1,--a 1,--b 2
0.109484,0,2,--a 1,--b 3
0.110027,0,3,--a 1,--b 4
0.109782,0,4,--a 1,--b 5
0.110957,0,5,--a 1,--b 6
0.109824,0,6,--a 1,--b 7
0.110844,0,7,--a 1,--b 8
0.109388,0,8,--a 1,--b 9
0.111002,0,9,--a 1,--b 10
0.079905,10,0,--a 11,--b 1
0.109043,10,1,--a 11,--b 2
0.110744,10,2,--a 11,--b 3
0.110999,10,3,--a 11,--b 4
0.091923,10,4,--a 11,--b 5
0.110628,10,5,--a 11,--b 6
0.127792,10,6,--a 11,--b 7
0.127081,10,7,--a 11,--b 8
0.126967,10,8,--a 11,--b 9
0.110729,10,9,--a 11,--b 10
0.096012,20,0,--a 21,--b 1
0.110938,20,1,--a 21,--b 2
0.078892,20,2,--a 21,--b 3
0.095014,20,3,--a 21,--b 4
0.095415,20,4,--a 21,--b 5
0.095037,20,5,--a 21,--b 6
0.079871,20,6,--a 21,--b 7
0.158923,20,7,--a 21,--b 8
0.109882,20,8,--a 21,--b 9
0.109993,20,9,--a 21,--b 10
0.095998,30,0,--a 31,--b 1
0.110863,30,1,--a 31,--b 2
0.094817,30,2,--a 31,--b 3
0.109811,30,3,--a 31,--b 4
0.095948,30,4,--a 31,--b 5
0.094162,30,5,--a 31,--b 6
0.110977,30,6,--a 31,--b 7
0.111973,30,7,--a 31,--b 8
0.108626,30,8,--a 31,--b 9
0.09432,30,9,--a 31,--b 10
0.095193,40,0,--a 41,--b 1
0.109247,40,1,--a 41,--b 2
0.127993,40,2,--a 41,--b 3
0.109959,40,3,--a 41,--b 4
0.110596,40,4,--a 41,--b 5
0.110517,40,5,--a 41,--b 6
0.109855,40,6,--a 41,--b 7
0.094592,40,7,--a 41,--b 8
0.125532,40,8,--a 41,--b 9
0.093822,40,9,--a 41,--b 10
0.079528,50,0,--a 51,--b 1
0.095306,50,1,--a 51,--b 2
0.079027,50,2,--a 51,--b 3
0.109707,50,3,--a 51,--b 4
0.108977,50,4,--a 51,--b 5
0.094915,50,5,--a 51,--b 6
0.12669,50,6,--a 51,--b 7
