time,var_1,var_2
0.078061,0,0
0.077465,0,1
0.079042,0,2
0.077612,0,3
0.079479,0,4
0.06177,0,5
0.078533,0,6
0.079117,0,7
0.078635,0,8
0.078697,0,9
0.077795,32,0
0.078514,32,1
0.07851,32,2
0.063711,32,3
0.062045,32,4
0.063731,32,5
0.062384,32,6
0.062338,32,7
0.062511,32,8
0.062593,32,9
0.061477,64,0
0.063135,64,1
0.061499,64,2
0.063761,64,3
0.063557,64,4
0.062362,64,5
0.063895,64,6
0.062499,64,7
0.063387,64,8
0.063401,64,9
0.063132,96,0
0.064007,96,1
0.061414,96,2
0.06345,96,3
0.063117,96,4
0.063389,96,5
0.063072,96,6
0.063069,96,7
0.063521,96,8
0.063615,96,9
0.062799,128,0
0.06354,128,1
0.063117,128,2
0.063612,128,3
0.061803,128,4
0.06394,128,5
0.063491,128,6
0.063461,128,7
0.063948,128,8
0.063495,128,9
0.064111,160,0
0.063188,160,1
0.062713,160,2
0.063128,160,3
0.062752,160,4
0.063719,160,5
0.06309,160,6
0.063151,160,7
0.061421,160,8
0.062954,160,9
0.062322,192,0
0.063046,192,1
0.064153,192,2
0.062539,192,3
0.063826,192,4
0.063547,192,5
0.063112,192,6
0.06209,192,7
0.063404,192,8
0.0612,192,9
0.061727,224,0
0.062091,224,1
0.062914,224,2
0.062803,224,3
0.063135,224,4
0.060925,224,5
0.064475,224,6
0.063927,224,7
0.062356,224,8
0.063267,224,9
0.063987,256,0
0.06245,256,1
0.063059,256,2
0.063991,256,3
0.063507,256,4
0.062401,256,5
0.063906,256,6
0.063337,256,7
0.064826,256,8
0.061672,256,9
0.063431,288,0
0.063849,288,1
0.063008,288,2
0.063802,288,3
0.06316,288,4
0.063755,288,5
0.063527,288,6
0.063902,288,7
0.060903,288,8
0.063071,288,9
0.062761,320,0
0.06311,320,1
0.063766,320,2
0.064189,320,3
0.06375,320,4
0.062964,320,5
0.063954,320,6
0.064245,320,7
0.063624,320,8
0.063505,320,9
0.063043,352,0
0.063487,352,1
0.060738,352,2
0.062332,352,3
0.063065,352,4
0.063476,352,5
0.062696,352,6
0.063858,352,7
0.063976,352,8
0.06288,352,9
0.064233,384,0
0.063701,384,1
0.063002,384,2
0.061751,384,3
0.061073,384,4
0.063183,384,5
0.063255,384,6
0.063082,384,7
0.062949,384,8
0.063409,384,9
0.063144,416,0
0.062488,416,1
0.063657,416,2
0.060149,416,3
0.060365,416,4
0.063384,416,5
0.063329,416,6
0.064056,416,7
0.062994,416,8
0.062794,416,9
0.063068,448,0
0.063925,448,1
0.063884,448,2
0.063843,448,3
0.062973,448,4
0.063194,448,5
0.063112,448,6
0.063945,448,7
0.063862,448,8
0.063322,448,9
0.064192,480,0
0.061784,480,1
0.063106,480,2
0.062184,480,3
0.063115,480,4
0.063167,480,5
0.06248,480,6
0.061679,480,7
0.06121,480,8
0.063226,480,9
0.06281,512,0
0.062468,512,1
0.062026,512,2
0.06365,512,3
0.063168,512,4
0.063693,512,5
0.062115,512,6
0.063472,512,7
0.063597,512,8
0.062763,512,9
0.063651,544,0
0.063832,544,1
0.062389,544,2
0.063551,544,3
0.063507,544,4
0.06397,544,5
0.063001,544,6
0.06362,544,7
0.064393,544,8
0.06363,544,9
0.063921,576,0
0.061953,576,1
0.063155,576,2
0.062522,576,3
0.062883,576,4
0.063627,576,5
0.063044,576,6
0.064086,576,7
0.063731,576,8
0.063036,576,9
0.063032,608,0
0.063002,608,1
0.06232,608,2
0.062932,608,3
0.063332,608,4
0.062393,608,5
0.063205,608,6
0.062144,608,7
0.062289,608,8
0.062788,608,9
0.063883,640,0
0.062829,640,1
0.062474,640,2
0.062059,640,3
0.062326,640,4
0.063113,640,5
0.062089,640,6
0.063875,640,7
0.063009,640,8
0.063552,640,9
0.064034,672,0
0.063978,672,1
0.063906,672,2
0.063079,672,3
0.062975,672,4
0.064003,672,5
0.063974,672,6
0.063967,672,7
0.063814,672,8
0.063147,672,9
0.063924,704,0
0.062415,704,1
0.062647,704,2
0.063052,704,3
0.063046,704,4
0.062985,704,5
0.062139,704,6
0.061091,704,7
0.063031,704,8
0.063616,704,9
0.063347,736,0
0.063839,736,1
0.062792,736,2
0.064017,736,3
0.063676,736,4
0.06341,736,5
0.06262,736,6
0.063249,736,7
0.063836,736,8
0.062645,736,9
0.062151,768,0
0.063189,768,1
0.062347,768,2
0.063093,768,3
0.063176,768,4
0.063697,768,5
0.062553,768,6
0.063981,768,7
0.063848,768,8
0.063735,768,9
0.063424,800,0
0.063619,800,1
0.062868,800,2
0.064082,800,3
0.063506,800,4
0.06392,800,5
0.063221,800,6
0.062298,800,7
0.062924,800,8
0.061781,800,9
0.062774,832,0
0.063894,832,1
0.063087,832,2
0.063397,832,3
0.063397,832,4
0.063724,832,5
0.06281,832,6
0.063048,832,7
0.063343,832,8
0.062932,832,9
0.063642,864,0
0.062714,864,1
0.062904,864,2
0.063336,864,3
0.063504,864,4
0.063281,864,5
0.063235,864,6
0.062898,864,7
0.063303,864,8
0.062945,864,9
0.063987,896,0
0.063799,896,1
0.064022,896,2
0.063749,896,3
0.063923,896,4
0.063078,896,5
0.063097,896,6
0.063097,896,7
0.063953,896,8
0.063854,896,9
0.063867,928,0
0.063969,928,1
0.063942,928,2
0.063868,928,3
0.063921,928,4
0.06321,928,5
0.062645,928,6
0.064157,928,7
0.063698,928,8
0.0636,928,9
0.063901,960,0
0.063677,960,1
0.063328,960,2
0.062679,960,3
0.061984,960,4
0.061965,960,5
0.063336,960,6
0.063936,960,7
0.062859,960,8
0.063376,960,9
0.064007,992,0
0.063849,992,1
0.063877,992,2
0.064065,992,3
0.063915,992,4
0.063746,992,5
0.063034,992,6
0.063803,992,7
0.063745,992,8
0.063293,992,9
