time,var_1_int,var_2_int,var_1_value,var_2_value
5.318592,654,1,--a 655,--b 2
0.206214,25,4,--a 26,--b 5
1.074577,250,3,--a 251,--b 4
1.191942,142,1,--a 143,--b 2
1.270583,692,8,--a 693,--b 9
0.295645,89,9,--a 90,--b 10
7.024796,432,0,--a 433,--b 1
0.295274,30,1,--a 31,--b 2
0.925593,223,3,--a 224,--b 4
0.921077,517,9,--a 518,--b 10
0.235323,27,8,--a 28,--b 9
0.434671,203,8,--a 204,--b 9
1.758894,429,3,--a 430,--b 4
0.785559,459,9,--a 460,--b 10
4.577029,284,0,--a 285,--b 1
4.163456,777,2,--a 778,--b 3
1.752837,714,6,--a 715,--b 7
1.219154,348,4,--a 349,--b 5
0.698254,159,3,--a 160,--b 4
2.643572,980,5,--a 981,--b 6
0.90809,104,1,--a 105,--b 2
3.226898,389,1,--a 390,--b 2
1.060818,367,5,--a 368,--b 6
2.136202,618,4,--a 619,--b 5
13.461032,826,0,--a 827,--b 1
1.537768,747,7,--a 748,--b 8
4.409693,549,1,--a 550,--b 2
2.396768,996,6,--a 997,--b 7
0.187224,80,8,--a 81,--b 9
0.677879,300,9,--a 301,--b 10
2.520538,906,5,--a 907,--b 6
2.375058,591,3,--a 592,--b 4
5.76437,721,1,--a 722,--b 2
0.283668,46,3,--a 47,--b 4
2.589472,791,4,--a 792,--b 5
0.392499,81,3,--a 82,--b 4
7.034798,887,1,--a 888,--b 2
1.272785,389,4,--a 390,--b 5
1.332203,464,5,--a 465,--b 6
0.57092,166,5,--a 167,--b 6
1.474943,363,3,--a 364,--b 4
2.264427,686,4,--a 687,--b 5
5.761703,718,1,--a 719,--b 2
3.437174,623,2,--a 624,--b 3
2.24546,546,3,--a 547,--b 4
0.397867,167,7,--a 168,--b 8
1.365688,388,4,--a 389,--b 5
1.757387,947,8,--a 948,--b 9
0.678296,224,5,--a 225,--b 6
13.686811,863,0,--a 864,--b 1
3.909557,234,0,--a 235,--b 1
2.22858,824,5,--a 825,--b 6
1.483036,410,4,--a 411,--b 5
0.490207,67,3,--a 68,--b 4
1.572408,935,9,--a 936,--b 10
2.424418,897,5,--a 898,--b 6
0.534914,217,7,--a 218,--b 8
0.876524,405,7,--a 406,--b 8
0.569869,146,4,--a 147,--b 5
0.691392,142,3,--a 143,--b 4
1.459465,762,8,--a 763,--b 9
1.852972,551,4,--a 552,--b 5
1.269072,764,9,--a 765,--b 10
0.881703,438,9,--a 439,--b 10
1.300672,408,5,--a 409,--b 6
1.225948,224,2,--a 225,--b 3
1.128674,521,7,--a 522,--b 8
1.539042,93,0,--a 94,--b 1
7.033652,881,1,--a 882,--b 2
0.908984,156,2,--a 157,--b 3
1.868605,811,6,--a 812,--b 7
4.931148,610,1,--a 611,--b 2
1.015955,394,6,--a 395,--b 7
1.333789,610,7,--a 611,--b 8
1.807154,541,4,--a 542,--b 5
1.921797,994,8,--a 995,--b 9
14.266514,881,0,--a 882,--b 1
5.634832,696,1,--a 697,--b 2
1.295983,698,8,--a 699,--b 9
2.519712,768,4,--a 769,--b 5
2.274714,787,5,--a 788,--b 6
0.408307,114,4,--a 115,--b 5
2.405516,445,2,--a 446,--b 3
7.394505,464,0,--a 465,--b 1
3.202072,976,4,--a 977,--b 5
1.837849,995,8,--a 996,--b 9
4.295811,780,2,--a 781,--b 3
4.187197,519,1,--a 520,--b 2
2.912909,891,4,--a 892,--b 5
1.67715,861,8,--a 862,--b 9
2.502303,623,3,--a 624,--b 4
0.553149,156,5,--a 157,--b 6
1.114714,552,8,--a 553,--b 9
15.073168,940,0,--a 941,--b 1
1.702615,613,5,--a 614,--b 6
7.969971,500,0,--a 501,--b 1
0.443291,114,5,--a 115,--b 6
2.863577,899,4,--a 900,--b 5
3.906101,245,0,--a 246,--b 1
0.522549,246,9,--a 247,--b 10
7.743267,969,1,--a 970,--b 2
0.219389,87,7,--a 88,--b 8
6.682151,835,1,--a 836,--b 2
1.596338,778,8,--a 779,--b 9
4.195492,784,2,--a 785,--b 3
0.345034,131,7,--a 132,--b 8
1.840569,969,8,--a 970,--b 9
0.631038,169,4,--a 170,--b 5
1.055563,540,9,--a 541,--b 10
1.795559,433,3,--a 434,--b 4
1.794137,951,8,--a 952,--b 9
3.158436,773,3,--a 774,--b 4
2.425491,730,4,--a 731,--b 5
0.947715,448,8,--a 449,--b 9
3.853887,462,1,--a 463,--b 2
1.094981,253,3,--a 254,--b 4
0.220031,65,5,--a 66,--b 6
0.159426,21,9,--a 22,--b 10
2.370376,567,3,--a 568,--b 4
2.458734,602,3,--a 603,--b 4
0.110293,7,1,--a 8,--b 2
11.561556,724,0,--a 725,--b 1
1.959939,234,1,--a 235,--b 2
14.818704,927,0,--a 928,--b 1
2.443394,880,5,--a 881,--b 6
0.31556,72,8,--a 73,--b 9
0.907809,243,4,--a 244,--b 5
1.444267,685,7,--a 686,--b 8
0.515544,219,8,--a 220,--b 9
0.313729,135,9,--a 136,--b 10
1.331852,590,7,--a 591,--b 8
0.665747,248,7,--a 249,--b 8
2.050526,826,6,--a 827,--b 7
1.604454,194,1,--a 195,--b 2
0.343432,99,6,--a 100,--b 7
0.962467,362,6,--a 363,--b 7
0.970851,420,7,--a 421,--b 8
14.249716,884,0,--a 885,--b 1
5.627101,689,1,--a 690,--b 2
0.191003,62,6,--a 63,--b 7
2.028347,745,5,--a 746,--b 6
6.72129,819,1,--a 820,--b 2
1.118596,254,3,--a 255,--b 4
0.467817,194,8,--a 195,--b 9
2.57184,459,2,--a 460,--b 3
2.371428,432,2,--a 433,--b 3
