time,var_1_int,var_2_int,var_3_int,var_4_int,var_5_int,var_1_value,var_2_value,var_3_value,var_4_value,var_5_value
0.078903,0,0,0,0,0,--width 64,--height 64,--generations 10,--density 5,--wraparound 0
0.079837,0,0,0,0,1,--width 64,--height 64,--generations 10,--density 5,--wraparound 1
0.079015,0,0,0,15,0,--width 64,--height 64,--generations 10,--density 20,--wraparound 0
0.0798,0,0,0,15,1,--width 64,--height 64,--generations 10,--density 20,--wraparound 1
0.063881,0,0,0,30,0,--width 64,--height 64,--generations 10,--density 35,--wraparound 0
0.063069,0,0,0,30,1,--width 64,--height 64,--generations 10,--density 35,--wraparound 1
0.063222,0,0,0,45,0,--width 64,--height 64,--generations 10,--density 50,--wraparound 0
0.063797,0,0,0,45,1,--width 64,--height 64,--generations 10,--density 50,--wraparound 1
0.07992,0,0,30,0,0,--width 64,--height 64,--generations 40,--density 5,--wraparound 0
0.077964,0,0,30,0,1,--width 64,--height 64,--generations 40,--density 5,--wraparound 1
0.062851,0,0,30,15,0,--width 64,--height 64,--generations 40,--density 20,--wraparound 0
0.079819,0,0,30,15,1,--width 64,--height 64,--generations 40,--density 20,--wraparound 1
0.062986,0,0,30,30,0,--width 64,--height 64,--generations 40,--density 35,--wraparound 0
0.07804,0,0,30,30,1,--width 64,--height 64,--generations 40,--density 35,--wraparound 1
0.063941,0,0,30,45,0,--width 64,--height 64,--generations 40,--density 50,--wraparound 0
0.079774,0,0,30,45,1,--width 64,--height 64,--generations 40,--density 50,--wraparound 1
0.078244,0,0,60,0,0,--width 64,--height 64,--generations 70,--density 5,--wraparound 0
0.078789,0,0,60,0,1,--width 64,--height 64,--generations 70,--density 5,--wraparound 1
0.078063,0,0,60,15,0,--width 64,--height 64,--generations 70,--density 20,--wraparound 0
0.07888,0,0,60,15,1,--width 64,--height 64,--generations 70,--density 20,--wraparound 1
0.078684,0,0,60,30,0,--width 64,--height 64,--generations 70,--density 35,--wraparound 0
0.078591,0,0,60,30,1,--width 64,--height 64,--generations 70,--density 35,--wraparound 1
0.080037,0,0,60,45,0,--width 64,--height 64,--generations 70,--density 50,--wraparound 0
0.09478,0,0,60,45,1,--width 64,--height 64,--generations 70,--density 50,--wraparound 1
0.080007,0,0,90,0,0,--width 64,--height 64,--generations 100,--density 5,--wraparound 0
0.07839,0,0,90,0,1,--width 64,--height 64,--generations 100,--density 5,--wraparound 1
0.079296,0,0,90,15,0,--width 64,--height 64,--generations 100,--density 20,--wraparound 0
0.079374,0,0,90,15,1,--width 64,--height 64,--generations 100,--density 20,--wraparound 1
0.079892,0,0,90,30,0,--width 64,--height 64,--generations 100,--density 35,--wraparound 0
0.078033,0,0,90,30,1,--width 64,--height 64,--generations 100,--density 35,--wraparound 1
0.07909,0,0,90,45,0,--width 64,--height 64,--generations 100,--density 50,--wraparound 0
0.079484,0,0,90,45,1,--width 64,--height 64,--generations 100,--density 50,--wraparound 1
0.079016,0,149,0,0,0,--width 64,--height 213,--generations 10,--density 5,--wraparound 0
0.078549,0,149,0,0,1,--width 64,--height 213,--generations 10,--density 5,--wraparound 1
0.079171,0,149,0,15,0,--width 64,--height 213,--generations 10,--density 20,--wraparound 0
0.078304,0,149,0,15,1,--width 64,--height 213,--generations 10,--density 20,--wraparound 1
0.064067,0,149,0,30,0,--width 64,--height 213,--generations 10,--density 35,--wraparound 0
0.079266,0,149,0,30,1,--width 64,--height 213,--generations 10,--density 35,--wraparound 1
0.063961,0,149,0,45,0,--width 64,--height 213,--generations 10,--density 50,--wraparound 0
0.078771,0,149,0,45,1,--width 64,--height 213,--generations 10,--density 50,--wraparound 1
0.079067,0,149,30,0,0,--width 64,--height 213,--generations 40,--density 5,--wraparound 0
0.078135,0,149,30,0,1,--width 64,--height 213,--generations 40,--density 5,--wraparound 1
0.079597,0,149,30,15,0,--width 64,--height 213,--generations 40,--density 20,--wraparound 0
0.077996,0,149,30,15,1,--width 64,--height 213,--generations 40,--density 20,--wraparound 1
0.079744,0,149,30,30,0,--width 64,--height 213,--generations 40,--density 35,--wraparound 0
0.07871,0,149,30,30,1,--width 64,--height 213,--generations 40,--density 35,--wraparound 1
0.078099,0,149,30,45,0,--width 64,--height 213,--generations 40,--density 50,--wraparound 0
0.07988,0,149,30,45,1,--width 64,--height 213,--generations 40,--density 50,--wraparound 1
0.078189,0,149,60,0,0,--width 64,--height 213,--generations 70,--density 5,--wraparound 0
0.095112,0,149,60,0,1,--width 64,--height 213,--generations 70,--density 5,--wraparound 1
0.094837,0,149,60,15,0,--width 64,--height 213,--generations 70,--density 20,--wraparound 0
