time,var_1_int,var_2_int,var_1_value,var_2_value
16.172777,0,0,--a -5.00,--b -5.00
16.270164,0,111,--a -5.00,--b -3.89
16.006059,0,222,--a -5.00,--b -2.78
16.091917,0,333,--a -5.00,--b -1.67
15.847799,0,444,--a -5.00,--b -0.56
15.958587,0,555,--a -5.00,--b 0.55
15.922005,0,666,--a -5.00,--b 1.66
16.128088,0,777,--a -5.00,--b 2.77
16.07617,0,888,--a -5.00,--b 3.88
16.051572,0,999,--a -5.00,--b 4.99
16.039347,111,0,--a -3.89,--b -5.00
16.30046,111,111,--a -3.89,--b -3.89
16.348919,111,222,--a -3.89,--b -2.78
15.853659,111,333,--a -3.89,--b -1.67
15.800413,111,444,--a -3.89,--b -0.56
15.860704,111,555,--a -3.89,--b 0.55
15.975256,111,666,--a -3.89,--b 1.66
16.186946,111,777,--a -3.89,--b 2.77
15.724221,111,888,--a -3.89,--b 3.88
16.717686,111,999,--a -3.89,--b 4.99
16.161598,222,0,--a -2.78,--b -5.00
16.138403,222,111,--a -2.78,--b -3.89
16.420675,222,222,--a -2.78,--b -2.78
16.020488,222,333,--a -2.78,--b -1.67
16.05057,222,444,--a -2.78,--b -0.56
16.327679,222,555,--a -2.78,--b 0.55
16.050751,222,666,--a -2.78,--b 1.66
15.922368,222,777,--a -2.78,--b 2.77
15.888075,222,888,--a -2.78,--b 3.88
15.855898,222,999,--a -2.78,--b 4.99
16.803146,333,0,--a -1.67,--b -5.00
16.45711,333,111,--a -1.67,--b -3.89
16.516287,333,222,--a -1.67,--b -2.78
16.043402,333,333,--a -1.67,--b -1.67
16.419669,333,444,--a -1.67,--b -0.56
15.853551,333,555,--a -1.67,--b 0.55
16.059207,333,666,--a -1.67,--b 1.66
16.120284,333,777,--a -1.67,--b 2.77
16.698058,333,888,--a -1.67,--b 3.88
16.186225,333,999,--a -1.67,--b 4.99
16.435594,444,0,--a -0.56,--b -5.00
17.587936,444,111,--a -0.56,--b -3.89
15.97368,444,222,--a -0.56,--b -2.78
16.291146,444,333,--a -0.56,--b -1.67
15.825306,444,444,--a -0.56,--b -0.56
16.804254,444,555,--a -0.56,--b 0.55
16.012731,444,666,--a -0.56,--b 1.66
15.883644,444,777,--a -0.56,--b 2.77
15.930146,444,888,--a -0.56,--b 3.88
15.838306,444,999,--a -0.56,--b 4.99
16.443249,555,0,--a 0.55,--b -5.00
16.155161,555,111,--a 0.55,--b -3.89
17.064015,555,222,--a 0.55,--b -2.78
15.994903,555,333,--a 0.55,--b -1.67
15.930522,555,444,--a 0.55,--b -0.56
16.272562,555,555,--a 0.55,--b 0.55
16.019444,555,666,--a 0.55,--b 1.66
16.028611,555,777,--a 0.55,--b 2.77
15.82407,555,888,--a 0.55,--b 3.88
16.272635,555,999,--a 0.55,--b 4.99
15.908986,666,0,--a 1.66,--b -5.00
15.889078,666,111,--a 1.66,--b -3.89
16.100067,666,222,--a 1.66,--b -2.78
15.814133,666,333,--a 1.66,--b -1.67
16.172293,666,444,--a 1.66,--b -0.56
16.219293,666,555,--a 1.66,--b 0.55
15.941759,666,666,--a 1.66,--b 1.66
16.339742,666,777,--a 1.66,--b 2.77
16.381605,666,888,--a 1.66,--b 3.88
16.062925,666,999,--a 1.66,--b 4.99
16.241917,777,0,--a 2.77,--b -5.00
16.470453,777,111,--a 2.77,--b -3.89
16.135741,777,222,--a 2.77,--b -2.78
16.185198,777,333,--a 2.77,--b -1.67
16.125496,777,444,--a 2.77,--b -0.56
17.01527,777,555,--a 2.77,--b 0.55
16.169612,777,666,--a 2.77,--b 1.66
16.146761,777,777,--a 2.77,--b 2.77
16.335964,777,888,--a 2.77,--b 3.88
16.929945,777,999,--a 2.77,--b 4.99
16.034335,888,0,--a 3.88,--b -5.00
15.8527,888,111,--a 3.88,--b -3.89
15.923634,888,222,--a 3.88,--b -2.78
16.035787,888,333,--a 3.88,--b -1.67
16.104865,888,444,--a 3.88,--b -0.56
15.960219,888,555,--a 3.88,--b 0.55
16.972313,888,666,--a 3.88,--b 1.66
16.282359,888,777,--a 3.88,--b 2.77
16.125578,888,888,--a 3.88,--b 3.88
16.351605,888,999,--a 3.88,--b 4.99
16.197508,999,0,--a 4.99,--b -5.00
15.945672,999,111,--a 4.99,--b -3.89
15.976258,999,222,--a 4.99,--b -2.78
16.405329,999,333,--a 4.99,--b -1.67
16.023155,999,444,--a 4.99,--b -0.56
15.998493,999,555,--a 4.99,--b 0.55
16.214282,999,666,--a 4.99,--b 1.66
15.999781,999,777,--a 4.99,--b 2.77
16.014097,999,888,--a 4.99,--b 3.88
16.034132,999,999,--a 4.99,--b 4.99
