time,var_1_int,var_2_int,var_1_value,var_2_value
0.188264,40,7,--a 20,--b -13
0.093868,1,17,--a -19,--b -3
0.171974,15,14,--a -5,--b -6
0.186496,8,6,--a -12,--b -14
0.173184,34,5,--a 14,--b -15
0.187575,37,27,--a 17,--b 7
0.172775,2,1,--a -18,--b -19
0.186133,5,13,--a -15,--b -7
0.157661,14,32,--a -6,--b 12
0.188787,38,1,--a 18,--b -19
0.205263,35,12,--a 15,--b -8
0.188781,34,26,--a 14,--b 6
0.187629,14,28,--a -6,--b 8
0.109962,37,17,--a 17,--b -3
0.188787,0,10,--a -20,--b -10
0.10934,27,21,--a 7,--b 1
0.156096,17,9,--a -3,--b -11
0.110268,13,21,--a -7,--b 1
0.186433,6,5,--a -14,--b -15
0.156379,24,6,--a 4,--b -14
0.187217,22,22,--a 2,--b 2
0.220463,38,16,--a 18,--b -4
0.204091,2,29,--a -18,--b 9
0.188383,34,7,--a 14,--b -13
0.157089,24,5,--a 4,--b -15
0.109384,35,18,--a 15,--b -2
0.173056,40,39,--a 20,--b 19
0.155742,23,36,--a 3,--b 16
0.156196,12,4,--a -8,--b -16
0.220375,2,14,--a -18,--b -6
0.125683,18,5,--a -2,--b -15
0.154959,14,6,--a -6,--b -14
0.173975,24,17,--a 4,--b -3
0.172076,29,40,--a 9,--b 20
0.158003,23,10,--a 3,--b -10
0.205396,23,22,--a 3,--b 2
0.203885,13,17,--a -7,--b -3
0.190866,4,38,--a -16,--b 18
0.202932,40,10,--a 20,--b -10
0.204282,34,15,--a 14,--b -5
0.18695,10,29,--a -10,--b 9
0.187634,40,35,--a 20,--b 15
0.09365,14,20,--a -6,--b 0
0.204372,3,14,--a -17,--b -6
0.093546,2,20,--a -18,--b 0
0.190055,25,17,--a 5,--b -3
0.188526,4,13,--a -16,--b -7
0.094468,36,20,--a 16,--b 0
0.158186,13,31,--a -7,--b 11
0.173207,25,29,--a 5,--b 9
0.204495,9,16,--a -11,--b -4
0.205528,8,15,--a -12,--b -5
0.189553,35,34,--a 15,--b 14
0.156431,16,37,--a -4,--b 17
0.17227,27,37,--a 7,--b 17
0.220587,25,23,--a 5,--b 3
0.187235,14,8,--a -6,--b -12
0.172914,32,31,--a 12,--b 11
0.188936,5,3,--a -15,--b -17
0.171138,7,9,--a -13,--b -11
0.169731,27,38,--a 7,--b 18
0.204642,4,24,--a -16,--b 4
0.140675,24,38,--a 4,--b 18
0.158326,29,33,--a 9,--b 13
0.156926,16,35,--a -4,--b 15
0.204777,0,7,--a -20,--b -13
0.219397,34,17,--a 14,--b -3
0.124448,21,7,--a 1,--b -13
0.157555,18,27,--a -2,--b 7
0.221303,0,16,--a -20,--b -4
0.186941,32,11,--a 12,--b -9
0.185881,32,6,--a 12,--b -14
0.109196,40,19,--a 20,--b -1
0.202373,40,32,--a 20,--b 12
0.202732,38,12,--a 18,--b -8
0.216541,9,23,--a -11,--b 3
0.173588,10,34,--a -10,--b 14
0.172604,33,0,--a 13,--b -20
0.092834,38,20,--a 18,--b 0
0.172701,31,1,--a 11,--b -19
0.218879,7,23,--a -13,--b 3
0.154603,19,15,--a -1,--b -5
0.219949,3,15,--a -17,--b -5
0.188238,36,5,--a 16,--b -15
0.185881,5,31,--a -15,--b 11
0.187808,4,34,--a -16,--b 14
0.20396,8,8,--a -12,--b -12
0.174163,30,35,--a 10,--b 15
0.203516,10,16,--a -10,--b -4
0.173011,33,38,--a 13,--b 18
0.187275,27,13,--a 7,--b -7
0.205711,34,12,--a 14,--b -8
0.156184,19,25,--a -1,--b 5
0.158914,23,28,--a 3,--b 8
0.186949,33,28,--a 13,--b 8
0.188668,7,15,--a -13,--b -5
0.171135,14,4,--a -6,--b -16
0.109064,21,1,--a 1,--b -19
0.185535,37,35,--a 17,--b 15
0.141072,14,37,--a -6,--b 17
0.139964,14,0,--a -6,--b -20
0.172855,4,40,--a -16,--b 20
0.172794,4,2,--a -16,--b -18
0.108942,21,4,--a 1,--b -16
0.18696,32,15,--a 12,--b -5
0.140417,17,31,--a -3,--b 11
0.170669,13,34,--a -7,--b 14
0.171484,8,36,--a -12,--b 16
0.220034,36,30,--a 16,--b 10
0.156113,15,30,--a -5,--b 10
0.17068,26,12,--a 6,--b -8
0.17299,6,6,--a -14,--b -14
0.204112,27,22,--a 7,--b 2
0.172708,27,26,--a 7,--b 6
0.157658,29,3,--a 9,--b -17
0.185646,6,3,--a -14,--b -17
0.220324,25,21,--a 5,--b 1
0.205108,6,15,--a -14,--b -5
0.188244,12,12,--a -8,--b -8
0.205301,34,28,--a 14,--b 8
0.204582,8,27,--a -12,--b 7
0.22078,11,17,--a -9,--b -3
0.203413,29,15,--a 9,--b -5
0.235162,4,28,--a -16,--b 8
0.18835,35,6,--a 15,--b -14
0.185789,3,34,--a -17,--b 14
0.218813,0,5,--a -20,--b -15
0.171685,15,10,--a -5,--b -10
0.187808,26,31,--a 6,--b 11
