time,var_1_int,var_2_int,var_1_value,var_2_value
0.063197,0,0,--a -5.00,--b -5.00
0.078128,0,32,--a -5.00,--b -4.68
0.062689,0,64,--a -5.00,--b -4.36
0.062439,0,96,--a -5.00,--b -4.04
0.078179,0,128,--a -5.00,--b -3.72
0.063419,0,160,--a -5.00,--b -3.40
0.076037,0,192,--a -5.00,--b -3.08
0.078562,0,224,--a -5.00,--b -2.76
0.078517,0,256,--a -5.00,--b -2.44
0.078586,0,288,--a -5.00,--b -2.12
0.078557,0,320,--a -5.00,--b -1.80
0.079261,0,352,--a -5.00,--b -1.48
0.078904,0,384,--a -5.00,--b -1.16
0.078527,0,416,--a -5.00,--b -0.84
0.077298,0,448,--a -5.00,--b -0.52
0.07713,0,480,--a -5.00,--b -0.20
0.077074,0,512,--a -5.00,--b 0.12
0.092129,0,544,--a -5.00,--b 0.44
0.077721,0,576,--a -5.00,--b 0.76
0.077325,0,608,--a -5.00,--b 1.08
0.063208,0,640,--a -5.00,--b 1.40
0.061863,0,672,--a -5.00,--b 1.72
0.07735,0,704,--a -5.00,--b 2.04
0.076874,0,736,--a -5.00,--b 2.36
0.061588,0,768,--a -5.00,--b 2.68
0.062313,0,800,--a -5.00,--b 3.00
0.075959,0,832,--a -5.00,--b 3.32
0.078916,0,864,--a -5.00,--b 3.64
0.07977,0,896,--a -5.00,--b 3.96
0.077931,0,928,--a -5.00,--b 4.28
0.077962,0,960,--a -5.00,--b 4.60
0.077223,0,992,--a -5.00,--b 4.92
0.078406,32,0,--a -4.68,--b -5.00
0.063287,32,32,--a -4.68,--b -4.68
0.078724,32,64,--a -4.68,--b -4.36
0.062469,32,96,--a -4.68,--b -4.04
0.062489,32,128,--a -4.68,--b -3.72
0.076637,32,160,--a -4.68,--b -3.40
0.062008,32,192,--a -4.68,--b -3.08
0.062887,32,224,--a -4.68,--b -2.76
0.078521,32,256,--a -4.68,--b -2.44
0.078078,32,288,--a -4.68,--b -2.12
0.078953,32,320,--a -4.68,--b -1.80
0.077604,32,352,--a -4.68,--b -1.48
0.062899,32,384,--a -4.68,--b -1.16
0.062161,32,416,--a -4.68,--b -0.84
0.078,32,448,--a -4.68,--b -0.52
0.079275,32,480,--a -4.68,--b -0.20
0.062402,32,512,--a -4.68,--b 0.12
0.064202,32,544,--a -4.68,--b 0.44
0.062404,32,576,--a -4.68,--b 0.76
0.06195,32,608,--a -4.68,--b 1.08
0.062588,32,640,--a -4.68,--b 1.40
0.063029,32,672,--a -4.68,--b 1.72
0.079296,32,704,--a -4.68,--b 2.04
0.061846,32,736,--a -4.68,--b 2.36
0.063093,32,768,--a -4.68,--b 2.68
0.094397,32,800,--a -4.68,--b 3.00
0.078813,32,832,--a -4.68,--b 3.32
0.077715,32,864,--a -4.68,--b 3.64
0.094693,32,896,--a -4.68,--b 3.96
0.06285,32,928,--a -4.68,--b 4.28
0.062891,32,960,--a -4.68,--b 4.60
0.062793,32,992,--a -4.68,--b 4.92
0.063098,64,0,--a -4.36,--b -5.00
0.063844,64,32,--a -4.36,--b -4.68
0.078671,64,64,--a -4.36,--b -4.36
0.0788,64,96,--a -4.36,--b -4.04
0.06306,64,128,--a -4.36,--b -3.72
0.062589,64,160,--a -4.36,--b -3.40
0.06215,64,192,--a -4.36,--b -3.08
0.063101,64,224,--a -4.36,--b -2.76
0.063783,64,256,--a -4.36,--b -2.44
0.06189,64,288,--a -4.36,--b -2.12
0.06231,64,320,--a -4.36,--b -1.80
0.062926,64,352,--a -4.36,--b -1.48
0.062082,64,384,--a -4.36,--b -1.16
0.062438,64,416,--a -4.36,--b -0.84
0.062225,64,448,--a -4.36,--b -0.52
0.063354,64,480,--a -4.36,--b -0.20
0.062231,64,512,--a -4.36,--b 0.12
0.062191,64,544,--a -4.36,--b 0.44
0.063395,64,576,--a -4.36,--b 0.76
0.062616,64,608,--a -4.36,--b 1.08
0.078325,64,640,--a -4.36,--b 1.40
0.062985,64,672,--a -4.36,--b 1.72
0.063048,64,704,--a -4.36,--b 2.04
0.062302,64,736,--a -4.36,--b 2.36
0.062259,64,768,--a -4.36,--b 2.68
0.063491,64,800,--a -4.36,--b 3.00
0.063579,64,832,--a -4.36,--b 3.32
0.062713,64,864,--a -4.36,--b 3.64
0.078977,64,896,--a -4.36,--b 3.96
0.062645,64,928,--a -4.36,--b 4.28
0.062737,64,960,--a -4.36,--b 4.60
0.063253,64,992,--a -4.36,--b 4.92
0.063159,96,0,--a -4.04,--b -5.00
0.062453,96,32,--a -4.04,--b -4.68
0.061764,96,64,--a -4.04,--b -4.36
0.062296,96,96,--a -4.04,--b -4.04
0.06263,96,128,--a -4.04,--b -3.72
0.079258,96,160,--a -4.04,--b -3.40
0.063464,96,192,--a -4.04,--b -3.08
0.06324,96,224,--a -4.04,--b -2.76
0.077069,96,256,--a -4.04,--b -2.44
0.06251,96,288,--a -4.04,--b -2.12
0.062949,96,320,--a -4.04,--b -1.80
0.078592,96,352,--a -4.04,--b -1.48
0.079059,96,384,--a -4.04,--b -1.16
0.061739,96,416,--a -4.04,--b -0.84
0.063113,96,448,--a -4.04,--b -0.52
0.078068,96,480,--a -4.04,--b -0.20
0.077269,96,512,--a -4.04,--b 0.12
0.079757,96,544,--a -4.04,--b 0.44
0.079235,96,576,--a -4.04,--b 0.76
0.078487,96,608,--a -4.04,--b 1.08
0.078708,96,640,--a -4.04,--b 1.40
0.064065,96,672,--a -4.04,--b 1.72
0.077669,96,704,--a -4.04,--b 2.04
0.079087,96,736,--a -4.04,--b 2.36
0.077228,96,768,--a -4.04,--b 2.68
0.062675,96,800,--a -4.04,--b 3.00
0.06328,96,832,--a -4.04,--b 3.32
0.062594,96,864,--a -4.04,--b 3.64
0.078766,96,896,--a -4.04,--b 3.96
0.062349,96,928,--a -4.04,--b 4.28
