time,var_1,var_2,var_3
0.109825,0,0,0
0.125322,0,0,6
0.125573,0,0,12
0.126112,0,0,18
0.123969,0,0,24
0.128069,0,0,30
0.126211,0,0,36
0.141443,0,0,42
0.140767,0,0,48
0.143571,0,0,54
0.140766,0,0,60
0.140007,0,0,66
0.126375,0,0,72
0.12576,0,0,78
0.125278,0,0,84
0.126834,0,0,90
0.124769,0,0,96
0.111427,0,6,0
0.123028,0,6,6
0.124684,0,6,12
0.126195,0,6,18
0.125261,0,6,24
0.125827,0,6,30
0.141707,0,6,36
0.141947,0,6,42
0.142269,0,6,48
0.14327,0,6,54
0.141883,0,6,60
0.127485,0,6,66
0.126541,0,6,72
0.12453,0,6,78
0.12584,0,6,84
0.125641,0,6,90
0.126241,0,6,96
0.126625,0,12,0
0.126258,0,12,6
0.124986,0,12,12
0.128121,0,12,18
0.141076,0,12,24
0.141381,0,12,30
0.139498,0,12,36
0.140697,0,12,42
0.139776,0,12,48
0.140481,0,12,54
0.142402,0,12,60
0.142416,0,12,66
0.127631,0,12,72
0.142037,0,12,78
0.12519,0,12,84
0.125706,0,12,90
0.126199,0,12,96
0.125534,0,18,0
0.12606,0,18,6
0.12661,0,18,12
0.127513,0,18,18
0.126417,0,18,24
0.140833,0,18,30
0.141891,0,18,36
0.139258,0,18,42
0.142155,0,18,48
0.139724,0,18,54
0.140926,0,18,60
0.140974,0,18,66
0.142105,0,18,72
0.128514,0,18,78
0.139188,0,18,84
0.125917,0,18,90
0.141398,0,18,96
0.124395,0,24,0
0.127386,0,24,6
0.127003,0,24,12
0.141556,0,24,18
0.142264,0,24,24
0.141546,0,24,30
0.140688,0,24,36
0.143023,0,24,42
0.141201,0,24,48
0.15731,0,24,54
0.141294,0,24,60
0.142951,0,24,66
0.142739,0,24,72
0.14252,0,24,78
0.140931,0,24,84
0.140475,0,24,90
0.12688,0,24,96
0.127365,0,30,0
0.125001,0,30,6
0.125924,0,30,12
0.125909,0,30,18
0.141589,0,30,24
0.139674,0,30,30
0.141154,0,30,36
0.154298,0,30,42
0.156033,0,30,48
0.141479,0,30,54
0.142348,0,30,60
0.154628,0,30,66
0.140381,0,30,72
0.140506,0,30,78
0.140624,0,30,84
0.126412,0,30,90
0.140514,0,30,96
0.124884,0,36,0
0.124452,0,36,6
0.140425,0,36,12
0.140602,0,36,18
0.141959,0,36,24
0.139376,0,36,30
0.155291,0,36,36
0.156202,0,36,42
0.159031,0,36,48
0.155297,0,36,54
0.141492,0,36,60
0.140759,0,36,66
0.140091,0,36,72
0.142281,0,36,78
0.139957,0,36,84
0.139142,0,36,90
0.140022,0,36,96
0.126288,0,42,0
0.124911,0,42,6
0.139872,0,42,12
0.140713,0,42,18
0.140669,0,42,24
0.156284,0,42,30
0.156115,0,42,36
0.15658,0,42,42
0.156572,0,42,48
0.156014,0,42,54
0.155315,0,42,60
0.155874,0,42,66
0.157247,0,42,72
0.142983,0,42,78
0.138943,0,42,84
0.140261,0,42,90
0.140956,0,42,96
0.125425,0,48,0
0.141175,0,48,6
0.139832,0,48,12
0.139514,0,48,18
0.156032,0,48,24
0.15641,0,48,30
0.174192,0,48,36
0.159432,0,48,42
0.153001,0,48,48
0.15711,0,48,54
0.157908,0,48,60
0.157189,0,48,66
0.156391,0,48,72
0.155781,0,48,78
0.140752,0,48,84
0.155264,0,48,90
0.142115,0,48,96
0.126858,0,54,0
0.14279,0,54,6
0.140557,0,54,12
0.140581,0,54,18
0.154816,0,54,24
0.155281,0,54,30
0.154842,0,54,36
0.15731,0,54,42
0.157594,0,54,48
0.156539,0,54,54
0.155269,0,54,60
0.157493,0,54,66
0.158381,0,54,72
0.156402,0,54,78
0.142662,0,54,84
0.142759,0,54,90
0.140385,0,54,96
0.126003,0,60,0
0.142645,0,60,6
0.13992,0,60,12
0.140465,0,60,18
0.155985,0,60,24
0.158038,0,60,30
0.156262,0,60,36
0.154749,0,60,42
0.154306,0,60,48
0.156944,0,60,54
0.156428,0,60,60
0.156211,0,60,66
0.154991,0,60,72
0.155617,0,60,78
0.158993,0,60,84
0.155361,0,60,90
0.140262,0,60,96
0.13941,0,66,0
0.15662,0,66,6
0.140139,0,66,12
0.157761,0,66,18
0.15701,0,66,24
0.156413,0,66,30
0.153894,0,66,36
0.155393,0,66,42
0.174354,0,66,48
0.155133,0,66,54
0.156839,0,66,60
0.172181,0,66,66
0.156084,0,66,72
0.155942,0,66,78
0.155401,0,66,84
0.140315,0,66,90
0.13955,0,66,96
0.141193,0,72,0
0.139072,0,72,6
0.140923,0,72,12
0.141681,0,72,18
0.141187,0,72,24
0.155599,0,72,30
0.156213,0,72,36
0.156259,0,72,42
0.155971,0,72,48
0.154776,0,72,54
0.156456,0,72,60
0.153953,0,72,66
0.154915,0,72,72
0.156426,0,72,78
0.156631,0,72,84
0.157733,0,72,90
0.140653,0,72,96
