time,var_1
0.124892,57
0.125584,47
0.15627,90
0.076766,8
0.141366,56
0.111069,22
0.139501,60
0.12369,49
0.10805,34
0.157052,78
0.078314,2
0.110696,30
0.107949,27
0.125607,48
0.14108,59
0.125675,39
0.172082,86
0.154711,77
0.094855,12
0.079362,1
0.157959,69
0.109874,29
0.093798,13
0.109553,33
0.094056,16
0.156874,84
0.15556,80
0.093988,9
0.094791,10
0.093562,7
0.09392,24
0.107901,31
0.109434,37
0.142105,58
0.139773,66
0.125082,38
0.123913,45
0.141027,52
0.14078,61
0.155185,74
0.171556,89
0.15755,72
0.140469,62
0.17103,85
0.110508,23
0.110227,41
0.141082,64
0.172363,88
0.125585,46
0.094546,11
0.141598,68
0.078451,3
0.110331,36
0.138453,67
0.124696,54
0.077981,0
0.077687,4
0.110075,25
0.093648,19
0.093623,14
0.126043,40
0.110575,28
0.110264,35
0.126684,42
0.125792,50
0.125991,44
0.12752,55
0.15656,71
0.142212,53
0.157401,75
0.157368,76
0.15671,82
0.171429,81
0.155492,83
0.108948,32
0.094466,17
0.093043,21
0.156098,79
0.096285,5
0.140992,65
0.169851,87
0.093432,15
0.12469,51
0.092315,18
0.094266,20
0.125217,43
0.142294,63
0.156765,73
0.142102,70
0.111357,26
0.078385,6
