time,var_1,var_2
0.486312,0,0
0.436563,0,32
0.436452,0,64
0.423698,0,96
0.440456,0,128
0.422726,0,160
0.409577,0,192
0.428825,0,224
0.423728,0,256
0.408318,0,288
0.43657,0,320
0.436025,0,352
0.421606,0,384
0.421908,0,416
0.430974,0,448
0.437297,0,480
0.438511,0,512
0.439794,0,544
0.41,0,576
0.444601,0,608
0.420481,0,640
0.422904,0,672
0.421439,0,704
0.41535,0,736
0.429544,0,768
0.469922,0,800
0.577323,0,832
0.532227,0,864
0.499203,0,896
0.483757,0,928
0.489387,0,960
0.500832,0,992
0.516389,32,0
0.562398,32,32
0.534822,32,64
0.468958,32,96
0.515022,32,128
0.50128,32,160
0.497956,32,192
0.497698,32,224
0.453873,32,256
0.436255,32,288
0.437845,32,320
0.440314,32,352
0.424798,32,384
0.4538,32,416
0.451975,32,448
0.435152,32,480
0.472203,32,512
0.424131,32,544
0.438832,32,576
0.437708,32,608
0.439155,32,640
0.438756,32,672
0.437818,32,704
0.437144,32,736
0.439144,32,768
0.422712,32,800
0.454761,32,832
0.439744,32,864
0.413964,32,896
0.450924,32,928
0.435658,32,960
0.435643,32,992
0.422637,64,0
0.425272,64,32
0.4338,64,64
0.421582,64,96
0.437797,64,128
0.440027,64,160
0.434885,64,192
0.421594,64,224
0.422673,64,256
0.438951,64,288
0.441298,64,320
0.424083,64,352
0.438191,64,384
0.437804,64,416
0.424252,64,448
0.424069,64,480
0.421958,64,512
0.423496,64,544
0.454548,64,576
0.42942,64,608
0.422794,64,640
0.424751,64,672
0.42423,64,704
0.424246,64,736
0.440063,64,768
0.438408,64,800
0.459577,64,832
0.434473,64,864
0.426247,64,896
0.433538,64,928
0.471087,64,960
0.422094,64,992
0.42512,96,0
0.439032,96,32
0.44088,96,64
0.648507,96,96
0.417152,96,128
0.43546,96,160
0.439009,96,192
0.437313,96,224
0.421622,96,256
0.457569,96,288
0.426981,96,320
0.438057,96,352
0.444201,96,384
0.42318,96,416
0.423472,96,448
0.424561,96,480
0.443329,96,512
0.423929,96,544
0.423648,96,576
0.424512,96,608
0.410707,96,640
0.442279,96,672
0.438708,96,704
