time,var_1_int,var_2_int,var_1_value,var_2_value
0.063962,0,0,--n 1000,--pct 0
0.063039,0,1,--n 1000,--pct 10
0.062799,0,2,--n 1000,--pct 20
0.063982,0,3,--n 1000,--pct 30
0.064039,0,4,--n 1000,--pct 40
0.063878,0,5,--n 1000,--pct 50
0.063926,0,6,--n 1000,--pct 60
0.062828,0,7,--n 1000,--pct 70
0.062069,0,8,--n 1000,--pct 80
0.06286,0,9,--n 1000,--pct 90
0.061921,0,10,--n 1000,--pct 100
0.078917,2,0,--n 1200,--pct 0
0.064114,2,1,--n 1200,--pct 10
0.063707,2,2,--n 1200,--pct 20
0.063997,2,3,--n 1200,--pct 30
0.063029,2,4,--n 1200,--pct 40
0.062846,2,5,--n 1200,--pct 50
0.063673,2,6,--n 1200,--pct 60
0.063273,2,7,--n 1200,--pct 70
0.061872,2,8,--n 1200,--pct 80
0.063191,2,9,--n 1200,--pct 90
0.062656,2,10,--n 1200,--pct 100
0.062382,4,0,--n 1400,--pct 0
0.062342,4,1,--n 1400,--pct 10
0.063044,4,2,--n 1400,--pct 20
0.063743,4,3,--n 1400,--pct 30
0.063106,4,4,--n 1400,--pct 40
0.061952,4,5,--n 1400,--pct 50
0.064111,4,6,--n 1400,--pct 60
0.063977,4,7,--n 1400,--pct 70
0.063912,4,8,--n 1400,--pct 80
0.060723,4,9,--n 1400,--pct 90
0.063589,4,10,--n 1400,--pct 100
0.062916,6,0,--n 1600,--pct 0
0.063011,6,1,--n 1600,--pct 10
0.063624,6,2,--n 1600,--pct 20
0.063152,6,3,--n 1600,--pct 30
0.06296,6,4,--n 1600,--pct 40
0.063105,6,5,--n 1600,--pct 50
0.064035,6,6,--n 1600,--pct 60
0.063843,6,7,--n 1600,--pct 70
0.062947,6,8,--n 1600,--pct 80
0.063243,6,9,--n 1600,--pct 90
0.063536,6,10,--n 1600,--pct 100
0.063923,8,0,--n 1800,--pct 0
0.062892,8,1,--n 1800,--pct 10
0.061349,8,2,--n 1800,--pct 20
0.062905,8,3,--n 1800,--pct 30
0.063764,8,4,--n 1800,--pct 40
0.06327,8,5,--n 1800,--pct 50
0.062327,8,6,--n 1800,--pct 60
0.062679,8,7,--n 1800,--pct 70
0.080313,8,8,--n 1800,--pct 80
0.06282,8,9,--n 1800,--pct 90
0.062524,8,10,--n 1800,--pct 100
0.064088,10,0,--n 2000,--pct 0
0.079712,10,1,--n 2000,--pct 10
0.063094,10,2,--n 2000,--pct 20
0.063713,10,3,--n 2000,--pct 30
0.063197,10,4,--n 2000,--pct 40
0.063464,10,5,--n 2000,--pct 50
0.063283,10,6,--n 2000,--pct 60
0.062203,10,7,--n 2000,--pct 70
0.063632,10,8,--n 2000,--pct 80
0.064249,10,9,--n 2000,--pct 90
0.079505,10,10,--n 2000,--pct 100
0.061843,12,0,--n 2200,--pct 0
0.064002,12,1,--n 2200,--pct 10
0.063178,12,2,--n 2200,--pct 20
0.063797,12,3,--n 2200,--pct 30
0.063369,12,4,--n 2200,--pct 40
0.062936,12,5,--n 2200,--pct 50
0.063043,12,6,--n 2200,--pct 60
0.063958,12,7,--n 2200,--pct 70
0.064017,12,8,--n 2200,--pct 80
0.062496,12,9,--n 2200,--pct 90
0.063406,12,10,--n 2200,--pct 100
0.063107,14,0,--n 2400,--pct 0
0.063677,14,1,--n 2400,--pct 10
0.060902,14,2,--n 2400,--pct 20
0.063688,14,3,--n 2400,--pct 30
0.063283,14,4,--n 2400,--pct 40
0.063446,14,5,--n 2400,--pct 50
0.063549,14,6,--n 2400,--pct 60
0.063599,14,7,--n 2400,--pct 70
0.063656,14,8,--n 2400,--pct 80
0.062215,14,9,--n 2400,--pct 90
0.062685,14,10,--n 2400,--pct 100
0.062717,16,0,--n 2600,--pct 0
0.063402,16,1,--n 2600,--pct 10
0.07951,16,2,--n 2600,--pct 20
0.063947,16,3,--n 2600,--pct 30
0.062225,16,4,--n 2600,--pct 40
0.063616,16,5,--n 2600,--pct 50
0.063198,16,6,--n 2600,--pct 60
0.063641,16,7,--n 2600,--pct 70
0.063853,16,8,--n 2600,--pct 80
0.064007,16,9,--n 2600,--pct 90
0.063168,16,10,--n 2600,--pct 100
0.063696,18,0,--n 2800,--pct 0
0.064133,18,1,--n 2800,--pct 10
0.063376,18,2,--n 2800,--pct 20
0.062808,18,3,--n 2800,--pct 30
0.063987,18,4,--n 2800,--pct 40
0.063194,18,5,--n 2800,--pct 50
0.077652,18,6,--n 2800,--pct 60
0.078945,18,7,--n 2800,--pct 70
0.077812,18,8,--n 2800,--pct 80
0.078075,18,9,--n 2800,--pct 90
0.07676,18,10,--n 2800,--pct 100
0.063378,20,0,--n 3000,--pct 0
0.063042,20,1,--n 3000,--pct 10
0.06277,20,2,--n 3000,--pct 20
0.063073,20,3,--n 3000,--pct 30
0.079232,20,4,--n 3000,--pct 40
0.063501,20,5,--n 3000,--pct 50
0.077731,20,6,--n 3000,--pct 60
0.079527,20,7,--n 3000,--pct 70
0.064269,20,8,--n 3000,--pct 80
0.063049,20,9,--n 3000,--pct 90
0.06309,20,10,--n 3000,--pct 100
0.079113,22,0,--n 3200,--pct 0
0.07848,22,1,--n 3200,--pct 10
0.063477,22,2,--n 3200,--pct 20
0.061779,22,3,--n 3200,--pct 30
0.062894,22,4,--n 3200,--pct 40
0.063266,22,5,--n 3200,--pct 50
0.063848,22,6,--n 3200,--pct 60
0.07863,22,7,--n 3200,--pct 70
0.078401,22,8,--n 3200,--pct 80
0.063956,22,9,--n 3200,--pct 90
0.062837,22,10,--n 3200,--pct 100
0.063366,24,0,--n 3400,--pct 0
0.062838,24,1,--n 3400,--pct 10
0.0631,24,2,--n 3400,--pct 20
0.064248,24,3,--n 3400,--pct 30
0.064651,24,4,--n 3400,--pct 40
0.063045,24,5,--n 3400,--pct 50
0.063482,24,6,--n 3400,--pct 60
0.063166,24,7,--n 3400,--pct 70
0.06372,24,8,--n 3400,--pct 80
0.064091,24,9,--n 3400,--pct 90
0.063304,24,10,--n 3400,--pct 100
0.064172,26,0,--n 3600,--pct 0
0.062387,26,1,--n 3600,--pct 10
0.078092,26,2,--n 3600,--pct 20
0.063758,26,3,--n 3600,--pct 30
0.063848,26,4,--n 3600,--pct 40
0.06288,26,5,--n 3600,--pct 50
