time,var_1_int,var_2_int,var_1_value,var_2_value
0.061991,0,0,--n 1000,--pct 0
0.062839,0,1,--n 1000,--pct 10
0.062959,0,2,--n 1000,--pct 20
0.061366,0,3,--n 1000,--pct 30
0.062999,0,4,--n 1000,--pct 40
0.063919,0,5,--n 1000,--pct 50
0.063002,0,6,--n 1000,--pct 60
0.062741,0,7,--n 1000,--pct 70
0.06412,0,8,--n 1000,--pct 80
0.062975,0,9,--n 1000,--pct 90
0.06372,0,10,--n 1000,--pct 100
0.064299,2,0,--n 1200,--pct 0
0.063333,2,1,--n 1200,--pct 10
0.062254,2,2,--n 1200,--pct 20
0.063472,2,3,--n 1200,--pct 30
0.063471,2,4,--n 1200,--pct 40
0.063048,2,5,--n 1200,--pct 50
0.063937,2,6,--n 1200,--pct 60
0.063929,2,7,--n 1200,--pct 70
0.062833,2,8,--n 1200,--pct 80
0.06294,2,9,--n 1200,--pct 90
0.063162,2,10,--n 1200,--pct 100
0.062032,4,0,--n 1400,--pct 0
0.063679,4,1,--n 1400,--pct 10
0.062802,4,2,--n 1400,--pct 20
0.06308,4,3,--n 1400,--pct 30
0.061416,4,4,--n 1400,--pct 40
0.062998,4,5,--n 1400,--pct 50
0.062328,4,6,--n 1400,--pct 60
0.062317,4,7,--n 1400,--pct 70
0.061758,4,8,--n 1400,--pct 80
0.077431,4,9,--n 1400,--pct 90
0.061651,4,10,--n 1400,--pct 100
0.063965,6,0,--n 1600,--pct 0
0.063958,6,1,--n 1600,--pct 10
0.064033,6,2,--n 1600,--pct 20
0.063867,6,3,--n 1600,--pct 30
0.062884,6,4,--n 1600,--pct 40
0.063128,6,5,--n 1600,--pct 50
0.063856,6,6,--n 1600,--pct 60
0.063811,6,7,--n 1600,--pct 70
0.0642,6,8,--n 1600,--pct 80
0.063143,6,9,--n 1600,--pct 90
0.063968,6,10,--n 1600,--pct 100
0.063059,8,0,--n 1800,--pct 0
0.06299,8,1,--n 1800,--pct 10
0.064006,8,2,--n 1800,--pct 20
0.062939,8,3,--n 1800,--pct 30
0.064005,8,4,--n 1800,--pct 40
0.046775,8,5,--n 1800,--pct 50
0.063986,8,6,--n 1800,--pct 60
0.064001,8,7,--n 1800,--pct 70
0.063378,8,8,--n 1800,--pct 80
0.079794,8,9,--n 1800,--pct 90
0.063029,8,10,--n 1800,--pct 100
0.063594,10,0,--n 2000,--pct 0
0.062034,10,1,--n 2000,--pct 10
0.062919,10,2,--n 2000,--pct 20
0.063183,10,3,--n 2000,--pct 30
0.063759,10,4,--n 2000,--pct 40
0.063353,10,5,--n 2000,--pct 50
0.062031,10,6,--n 2000,--pct 60
0.063369,10,7,--n 2000,--pct 70
0.063995,10,8,--n 2000,--pct 80
0.0639,10,9,--n 2000,--pct 90
0.063941,10,10,--n 2000,--pct 100
0.062013,12,0,--n 2200,--pct 0
0.063223,12,1,--n 2200,--pct 10
0.063046,12,2,--n 2200,--pct 20
0.062811,12,3,--n 2200,--pct 30
0.062628,12,4,--n 2200,--pct 40
0.063746,12,5,--n 2200,--pct 50
0.0628,12,6,--n 2200,--pct 60
0.060782,12,7,--n 2200,--pct 70
0.079838,12,8,--n 2200,--pct 80
0.064052,12,9,--n 2200,--pct 90
0.064014,12,10,--n 2200,--pct 100
0.062921,14,0,--n 2400,--pct 0
0.06303,14,1,--n 2400,--pct 10
0.062598,14,2,--n 2400,--pct 20
0.063964,14,3,--n 2400,--pct 30
0.063071,14,4,--n 2400,--pct 40
0.063809,14,5,--n 2400,--pct 50
0.063834,14,6,--n 2400,--pct 60
0.063241,14,7,--n 2400,--pct 70
0.063481,14,8,--n 2400,--pct 80
0.063748,14,9,--n 2400,--pct 90
0.063814,14,10,--n 2400,--pct 100
0.063509,16,0,--n 2600,--pct 0
0.063509,16,1,--n 2600,--pct 10
0.063596,16,2,--n 2600,--pct 20
0.079709,16,3,--n 2600,--pct 30
0.061825,16,4,--n 2600,--pct 40
0.064208,16,5,--n 2600,--pct 50
0.063119,16,6,--n 2600,--pct 60
0.063135,16,7,--n 2600,--pct 70
0.063559,16,8,--n 2600,--pct 80
0.063318,16,9,--n 2600,--pct 90
0.064013,16,10,--n 2600,--pct 100
0.063271,18,0,--n 2800,--pct 0
0.063953,18,1,--n 2800,--pct 10
0.063906,18,2,--n 2800,--pct 20
0.063714,18,3,--n 2800,--pct 30
0.061504,18,4,--n 2800,--pct 40
0.063037,18,5,--n 2800,--pct 50
0.063092,18,6,--n 2800,--pct 60
0.062999,18,7,--n 2800,--pct 70
0.06335,18,8,--n 2800,--pct 80
0.063388,18,9,--n 2800,--pct 90
0.062797,18,10,--n 2800,--pct 100
0.064028,20,0,--n 3000,--pct 0
0.063101,20,1,--n 3000,--pct 10
0.064075,20,2,--n 3000,--pct 20
0.062826,20,3,--n 3000,--pct 30
0.062911,20,4,--n 3000,--pct 40
0.062973,20,5,--n 3000,--pct 50
0.063171,20,6,--n 3000,--pct 60
0.063491,20,7,--n 3000,--pct 70
0.062423,20,8,--n 3000,--pct 80
0.063643,20,9,--n 3000,--pct 90
0.062043,20,10,--n 3000,--pct 100
0.062877,22,0,--n 3200,--pct 0
0.063799,22,1,--n 3200,--pct 10
0.062859,22,2,--n 3200,--pct 20
0.064019,22,3,--n 3200,--pct 30
0.063808,22,4,--n 3200,--pct 40
0.063993,22,5,--n 3200,--pct 50
0.062935,22,6,--n 3200,--pct 60
0.063904,22,7,--n 3200,--pct 70
0.063159,22,8,--n 3200,--pct 80
0.062964,22,9,--n 3200,--pct 90
0.079554,22,10,--n 3200,--pct 100
0.079744,24,0,--n 3400,--pct 0
0.063974,24,1,--n 3400,--pct 10
0.063924,24,2,--n 3400,--pct 20
0.063269,24,3,--n 3400,--pct 30
0.063974,24,4,--n 3400,--pct 40
0.063618,24,5,--n 3400,--pct 50
0.062549,24,6,--n 3400,--pct 60
0.064143,24,7,--n 3400,--pct 70
0.062315,24,8,--n 3400,--pct 80
0.063252,24,9,--n 3400,--pct 90
0.06376,24,10,--n 3400,--pct 100
0.063879,26,0,--n 3600,--pct 0
0.063838,26,1,--n 3600,--pct 10
0.063115,26,2,--n 3600,--pct 20
0.077191,26,3,--n 3600,--pct 30
0.063911,26,4,--n 3600,--pct 40
0.062853,26,5,--n 3600,--pct 50
0.063777,26,6,--n 3600,--pct 60
0.063503,26,7,--n 3600,--pct 70
0.063359,26,8,--n 3600,--pct 80
0.063752,26,9,--n 3600,--pct 90
0.063649,26,10,--n 3600,--pct 100
0.062925,28,0,--n 3800,--pct 0
0.062187,28,1,--n 3800,--pct 10
0.063992,28,2,--n 3800,--pct 20
0.063141,28,3,--n 3800,--pct 30
0.06194,28,4,--n 3800,--pct 40
0.062664,28,5,--n 3800,--pct 50
0.062936,28,6,--n 3800,--pct 60
0.061816,28,7,--n 3800,--pct 70
0.062596,28,8,--n 3800,--pct 80
0.06361,28,9,--n 3800,--pct 90
0.06274,28,10,--n 3800,--pct 100
0.062517,30,0,--n 4000,--pct 0
0.064072,30,1,--n 4000,--pct 10
0.063355,30,2,--n 4000,--pct 20
0.063687,30,3,--n 4000,--pct 30
0.063584,30,4,--n 4000,--pct 40
0.063463,30,5,--n 4000,--pct 50
0.062953,30,6,--n 4000,--pct 60
0.062328,30,7,--n 4000,--pct 70
0.062949,30,8,--n 4000,--pct 80
0.063098,30,9,--n 4000,--pct 90
0.062487,30,10,--n 4000,--pct 100
0.063057,32,0,--n 4200,--pct 0
0.063864,32,1,--n 4200,--pct 10
0.063061,32,2,--n 4200,--pct 20
0.062004,32,3,--n 4200,--pct 30
0.062685,32,4,--n 4200,--pct 40
0.062206,32,5,--n 4200,--pct 50
0.062512,32,6,--n 4200,--pct 60
0.06378,32,7,--n 4200,--pct 70
0.063703,32,8,--n 4200,--pct 80
0.063847,32,9,--n 4200,--pct 90
0.064034,32,10,--n 4200,--pct 100
0.063755,34,0,--n 4400,--pct 0
0.063948,34,1,--n 4400,--pct 10
0.06399,34,2,--n 4400,--pct 20
0.064143,34,3,--n 4400,--pct 30
0.062036,34,4,--n 4400,--pct 40
0.062068,34,5,--n 4400,--pct 50
0.063096,34,6,--n 4400,--pct 60
0.063766,34,7,--n 4400,--pct 70
0.063938,34,8,--n 4400,--pct 80
0.062855,34,9,--n 4400,--pct 90
0.061168,34,10,--n 4400,--pct 100
0.063294,36,0,--n 4600,--pct 0
0.062959,36,1,--n 4600,--pct 10
0.063232,36,2,--n 4600,--pct 20
0.063521,36,3,--n 4600,--pct 30
0.06305,36,4,--n 4600,--pct 40
0.062296,36,5,--n 4600,--pct 50
0.064116,36,6,--n 4600,--pct 60
0.063566,36,7,--n 4600,--pct 70
0.063898,36,8,--n 4600,--pct 80
0.079371,36,9,--n 4600,--pct 90
0.063452,36,10,--n 4600,--pct 100
0.064001,38,0,--n 4800,--pct 0
0.06401,38,1,--n 4800,--pct 10
0.063859,38,2,--n 4800,--pct 20
0.063232,38,3,--n 4800,--pct 30
0.063932,38,4,--n 4800,--pct 40
0.062807,38,5,--n 4800,--pct 50
0.063684,38,6,--n 4800,--pct 60
0.062091,38,7,--n 4800,--pct 70
0.06322,38,8,--n 4800,--pct 80
0.062202,38,9,--n 4800,--pct 90
0.062229,38,10,--n 4800,--pct 100
0.063162,40,0,--n 5000,--pct 0
0.062998,40,1,--n 5000,--pct 10
0.063614,40,2,--n 5000,--pct 20
0.063997,40,3,--n 5000,--pct 30
0.063822,40,4,--n 5000,--pct 40
0.063972,40,5,--n 5000,--pct 50
0.063912,40,6,--n 5000,--pct 60
0.06356,40,7,--n 5000,--pct 70
0.062591,40,8,--n 5000,--pct 80
0.062817,40,9,--n 5000,--pct 90
0.063958,40,10,--n 5000,--pct 100
0.063821,42,0,--n 5200,--pct 0
0.063569,42,1,--n 5200,--pct 10
0.063115,42,2,--n 5200,--pct 20
0.062672,42,3,--n 5200,--pct 30
0.062228,42,4,--n 5200,--pct 40
0.062954,42,5,--n 5200,--pct 50
0.063684,42,6,--n 5200,--pct 60
0.063171,42,7,--n 5200,--pct 70
0.064082,42,8,--n 5200,--pct 80
0.063704,42,9,--n 5200,--pct 90
0.062771,42,10,--n 5200,--pct 100
0.063487,44,0,--n 5400,--pct 0
0.063757,44,1,--n 5400,--pct 10
0.061951,44,2,--n 5400,--pct 20
0.063761,44,3,--n 5400,--pct 30
0.063949,44,4,--n 5400,--pct 40
0.063469,44,5,--n 5400,--pct 50
0.062728,44,6,--n 5400,--pct 60
0.063038,44,7,--n 5400,--pct 70
0.063623,44,8,--n 5400,--pct 80
0.062857,44,9,--n 5400,--pct 90
0.06268,44,10,--n 5400,--pct 100
0.060562,46,0,--n 5600,--pct 0
0.063818,46,1,--n 5600,--pct 10
0.06344,46,2,--n 5600,--pct 20
0.062114,46,3,--n 5600,--pct 30
0.063738,46,4,--n 5600,--pct 40
0.062232,46,5,--n 5600,--pct 50
0.061701,46,6,--n 5600,--pct 60
0.063888,46,7,--n 5600,--pct 70
0.063959,46,8,--n 5600,--pct 80
0.063866,46,9,--n 5600,--pct 90
0.048001,46,10,--n 5600,--pct 100
0.063982,48,0,--n 5800,--pct 0
0.063932,48,1,--n 5800,--pct 10
0.064235,48,2,--n 5800,--pct 20
0.063693,48,3,--n 5800,--pct 30
0.064028,48,4,--n 5800,--pct 40
0.062424,48,5,--n 5800,--pct 50
0.063066,48,6,--n 5800,--pct 60
0.063406,48,7,--n 5800,--pct 70
0.06361,48,8,--n 5800,--pct 80
0.063209,48,9,--n 5800,--pct 90
0.063579,48,10,--n 5800,--pct 100
0.062708,50,0,--n 6000,--pct 0
0.06276,50,1,--n 6000,--pct 10
0.063732,50,2,--n 6000,--pct 20
0.062793,50,3,--n 6000,--pct 30
0.063669,50,4,--n 6000,--pct 40
0.062991,50,5,--n 6000,--pct 50
0.06375,50,6,--n 6000,--pct 60
0.064833,50,7,--n 6000,--pct 70
