time,var_1_int,var_2_int,var_1_value,var_2_value
0.189891,0,0,--a -20,--b -20
0.19068,0,1,--a -20,--b -19
0.19116,0,2,--a -20,--b -18
0.204561,0,3,--a -20,--b -17
0.171889,0,4,--a -20,--b -16
0.172327,0,5,--a -20,--b -15
0.171206,0,6,--a -20,--b -14
0.187632,0,7,--a -20,--b -13
0.190109,0,8,--a -20,--b -12
0.190108,0,9,--a -20,--b -11
0.190959,0,10,--a -20,--b -10
0.203518,0,11,--a -20,--b -9
0.206708,0,12,--a -20,--b -8
0.205873,0,13,--a -20,--b -7
0.204172,0,14,--a -20,--b -6
0.215708,0,15,--a -20,--b -5
0.204701,0,16,--a -20,--b -4
0.111114,0,17,--a -20,--b -3
0.093883,0,18,--a -20,--b -2
0.095969,0,19,--a -20,--b -1
0.094235,0,20,--a -20,--b 0
0.094369,0,21,--a -20,--b 1
0.110816,0,22,--a -20,--b 2
0.110987,0,23,--a -20,--b 3
0.223605,0,24,--a -20,--b 4
0.217762,0,25,--a -20,--b 5
0.219399,0,26,--a -20,--b 6
0.190871,0,27,--a -20,--b 7
0.189508,0,28,--a -20,--b 8
0.190586,0,29,--a -20,--b 9
0.204304,0,30,--a -20,--b 10
0.204493,0,31,--a -20,--b 11
0.203547,0,32,--a -20,--b 12
0.205386,0,33,--a -20,--b 13
0.187585,0,34,--a -20,--b 14
0.175184,0,35,--a -20,--b 15
0.1722,0,36,--a -20,--b 16
0.172619,0,37,--a -20,--b 17
0.171276,0,38,--a -20,--b 18
0.173067,0,39,--a -20,--b 19
0.175109,0,40,--a -20,--b 20
0.190806,1,0,--a -19,--b -20
0.189939,1,1,--a -19,--b -19
0.189388,1,2,--a -19,--b -18
0.189165,1,3,--a -19,--b -17
0.171945,1,4,--a -19,--b -16
0.173481,1,5,--a -19,--b -15
0.173426,1,6,--a -19,--b -14
0.175073,1,7,--a -19,--b -13
0.202707,1,8,--a -19,--b -12
0.188728,1,9,--a -19,--b -11
0.202248,1,10,--a -19,--b -10
0.188075,1,11,--a -19,--b -9
0.205625,1,12,--a -19,--b -8
0.205062,1,13,--a -19,--b -7
0.221289,1,14,--a -19,--b -6
0.206589,1,15,--a -19,--b -5
0.202631,1,16,--a -19,--b -4
0.096054,1,17,--a -19,--b -3
0.111461,1,18,--a -19,--b -2
0.110085,1,19,--a -19,--b -1
0.094615,1,20,--a -19,--b 0
0.111103,1,21,--a -19,--b 1
0.109448,1,22,--a -19,--b 2
0.109948,1,23,--a -19,--b 3
0.219123,1,24,--a -19,--b 4
0.220256,1,25,--a -19,--b 5
0.237441,1,26,--a -19,--b 6
0.189737,1,27,--a -19,--b 7
0.190952,1,28,--a -19,--b 8
0.203315,1,29,--a -19,--b 9
0.187814,1,30,--a -19,--b 10
0.202569,1,31,--a -19,--b 11
0.202682,1,32,--a -19,--b 12
0.188452,1,33,--a -19,--b 13
0.18725,1,34,--a -19,--b 14
0.188332,1,35,--a -19,--b 15
0.183283,1,36,--a -19,--b 16
0.172465,1,37,--a -19,--b 17
0.173432,1,38,--a -19,--b 18
0.189366,1,39,--a -19,--b 19
0.185706,1,40,--a -19,--b 20
0.174851,2,0,--a -18,--b -20
0.187961,2,1,--a -18,--b -19
0.188512,2,2,--a -18,--b -18
0.188055,2,3,--a -18,--b -17
0.188759,2,4,--a -18,--b -16
0.235454,2,5,--a -18,--b -15
0.173704,2,6,--a -18,--b -14
0.173445,2,7,--a -18,--b -13
0.188262,2,8,--a -18,--b -12
0.18752,2,9,--a -18,--b -11
0.188371,2,10,--a -18,--b -10
0.189566,2,11,--a -18,--b -9
0.206004,2,12,--a -18,--b -8
0.205198,2,13,--a -18,--b -7
0.221569,2,14,--a -18,--b -6
0.221826,2,15,--a -18,--b -5
0.206008,2,16,--a -18,--b -4
0.095868,2,17,--a -18,--b -3
0.109917,2,18,--a -18,--b -2
0.095012,2,19,--a -18,--b -1
0.094852,2,20,--a -18,--b 0
0.110972,2,21,--a -18,--b 1
0.110806,2,22,--a -18,--b 2
0.112029,2,23,--a -18,--b 3
0.205859,2,24,--a -18,--b 4
0.206643,2,25,--a -18,--b 5
0.2069,2,26,--a -18,--b 6
0.206783,2,27,--a -18,--b 7
0.206049,2,28,--a -18,--b 8
0.190673,2,29,--a -18,--b 9
0.187923,2,30,--a -18,--b 10
0.187128,2,31,--a -18,--b 11
0.187016,2,32,--a -18,--b 12
0.189608,2,33,--a -18,--b 13
0.173372,2,34,--a -18,--b 14
0.188148,2,35,--a -18,--b 15
0.189797,2,36,--a -18,--b 16
0.189623,2,37,--a -18,--b 17
