time,var_1_int,var_2_int,var_1_value,var_2_value
0.187774,81,14,--a 31,--b -36
0.184365,3,94,--a -47,--b 44
0.188576,35,31,--a -15,--b -19
0.18451,28,17,--a -22,--b -33
0.189583,94,13,--a 44,--b -37
0.187549,86,94,--a 36,--b 44
0.173168,69,11,--a 19,--b -39
0.109697,75,54,--a 25,--b 4
0.188889,4,3,--a -46,--b -47
0.202827,11,27,--a -39,--b -23
0.204365,29,64,--a -21,--b 14
0.201975,77,3,--a 27,--b -47
0.189133,71,25,--a 21,--b -25
0.173168,91,83,--a 41,--b 33
0.20349,89,69,--a 39,--b 19
0.125864,53,28,--a 3,--b -22
0.156199,57,75,--a 7,--b 25
0.142342,35,0,--a -15,--b -50
0.185991,97,20,--a 47,--b -30
0.092299,89,54,--a 39,--b 4
0.154706,43,35,--a -7,--b -15
0.172348,19,27,--a -31,--b -23
0.092354,97,43,--a 47,--b -7
0.186107,13,11,--a -37,--b -39
0.111999,48,12,--a -2,--b -38
0.172852,45,44,--a -5,--b -6
0.187754,77,33,--a 27,--b -17
0.171317,5,93,--a -45,--b 43
0.157769,58,68,--a 8,--b 18
0.094216,15,48,--a -35,--b -2
0.188622,10,70,--a -40,--b 20
0.157787,37,80,--a -13,--b 30
0.094551,79,46,--a 29,--b -4
0.173391,73,24,--a 23,--b -26
0.173067,90,8,--a 40,--b -42
0.171991,5,84,--a -45,--b 34
0.157798,29,98,--a -21,--b 48
0.158621,37,10,--a -13,--b -40
0.172247,29,12,--a -21,--b -38
0.12488,48,35,--a -2,--b -15
0.140789,58,81,--a 8,--b 31
0.10881,46,20,--a -4,--b -30
0.172247,47,45,--a -3,--b -5
0.186571,26,85,--a -24,--b 35
0.172613,34,89,--a -16,--b 39
0.172483,87,82,--a 37,--b 32
0.189472,9,77,--a -41,--b 27
0.173195,81,21,--a 31,--b -29
0.156797,68,93,--a 18,--b 43
0.15717,31,20,--a -19,--b -30
0.203319,59,48,--a 9,--b -2
0.158757,34,81,--a -16,--b 31
0.189092,88,71,--a 38,--b 21
0.156251,28,87,--a -22,--b 37
0.13966,41,98,--a -9,--b 48
0.172501,99,7,--a 49,--b -43
0.158628,29,4,--a -21,--b -46
0.110431,40,51,--a -10,--b 1
0.172691,34,8,--a -16,--b -42
0.205083,27,72,--a -23,--b 22
0.204063,91,40,--a 41,--b -10
0.157904,27,83,--a -23,--b 33
0.077055,63,50,--a 13,--b 0
0.202805,82,58,--a 32,--b 8
0.186712,18,33,--a -32,--b -17
0.186036,17,31,--a -33,--b -19
0.187668,95,71,--a 45,--b 21
0.17117,68,33,--a 18,--b -17
0.188708,95,74,--a 45,--b 24
0.124551,54,74,--a 4,--b 24
0.140414,51,46,--a 1,--b -4
0.170925,65,63,--a 15,--b 13
0.172259,11,96,--a -39,--b 46
0.171785,6,14,--a -44,--b -36
0.170797,19,80,--a -31,--b 30
0.186042,20,87,--a -30,--b 37
0.127242,54,76,--a 4,--b 26
0.094737,8,49,--a -42,--b -1
0.109219,48,76,--a -2,--b 26
0.156019,59,67,--a 9,--b 17
0.171493,32,70,--a -18,--b 20
