time,var_1_int,var_2_int,var_1_value,var_2_value
0.171444,81,14,--a 31,--b -36
0.187166,3,94,--a -47,--b 44
0.187488,35,31,--a -15,--b -19
0.171224,28,17,--a -22,--b -33
0.188879,94,13,--a 44,--b -37
0.20044,86,94,--a 36,--b 44
0.172363,69,11,--a 19,--b -39
0.115835,75,54,--a 25,--b 4
0.183486,4,3,--a -46,--b -47
0.189046,11,27,--a -39,--b -23
0.18946,29,64,--a -21,--b 14
0.1553,77,3,--a 27,--b -47
0.171957,71,25,--a 21,--b -25
0.171322,91,83,--a 41,--b 33
0.187689,89,69,--a 39,--b 19
0.126261,53,28,--a 3,--b -22
0.13958,57,75,--a 7,--b 25
0.141857,35,0,--a -15,--b -50
0.190172,97,20,--a 47,--b -30
0.094811,89,54,--a 39,--b 4
0.17283,43,35,--a -7,--b -15
0.188348,19,27,--a -31,--b -23
0.095298,97,43,--a 47,--b -7
0.18975,13,11,--a -37,--b -39
0.1109,48,12,--a -2,--b -38
0.173377,45,44,--a -5,--b -6
0.185781,77,33,--a 27,--b -17
0.20186,5,93,--a -45,--b 43
0.156548,58,68,--a 8,--b 18
0.093193,15,48,--a -35,--b -2
0.219591,10,70,--a -40,--b 20
0.170057,37,80,--a -13,--b 30
0.109596,79,46,--a 29,--b -4
0.187664,73,24,--a 23,--b -26
0.184693,90,8,--a 40,--b -42
0.18881,5,84,--a -45,--b 34
0.172551,29,98,--a -21,--b 48
0.156917,37,10,--a -13,--b -40
0.402576,29,12,--a -21,--b -38
0.141153,48,35,--a -2,--b -15
0.184129,58,81,--a 8,--b 31
0.130669,46,20,--a -4,--b -30
0.171949,47,45,--a -3,--b -5
0.172173,26,85,--a -24,--b 35
0.172697,34,89,--a -16,--b 39
0.186535,87,82,--a 37,--b 32
0.426352,9,77,--a -41,--b 27
0.173199,81,21,--a 31,--b -29
0.156407,68,93,--a 18,--b 43
0.15773,31,20,--a -19,--b -30
0.220456,59,48,--a 9,--b -2
0.172839,34,81,--a -16,--b 31
0.203479,88,71,--a 38,--b 21
0.172001,28,87,--a -22,--b 37
0.156041,41,98,--a -9,--b 48
0.188137,99,7,--a 49,--b -43
0.172203,29,4,--a -21,--b -46
0.111095,40,51,--a -10,--b 1
0.173372,34,8,--a -16,--b -42
0.18707,27,72,--a -23,--b 22
0.203889,91,40,--a 41,--b -10
0.156536,27,83,--a -23,--b 33
0.078568,63,50,--a 13,--b 0
0.205437,82,58,--a 32,--b 8
0.188442,18,33,--a -32,--b -17
0.186802,17,31,--a -33,--b -19
0.187694,95,71,--a 45,--b 21
0.17223,68,33,--a 18,--b -17
0.186237,95,74,--a 45,--b 24
0.124545,54,74,--a 4,--b 24
0.141424,51,46,--a 1,--b -4
0.173655,65,63,--a 15,--b 13
0.173702,11,96,--a -39,--b 46
0.172794,6,14,--a -44,--b -36
0.187098,19,80,--a -31,--b 30
0.187331,20,87,--a -30,--b 37
0.124327,54,76,--a 4,--b 26
0.092362,8,49,--a -42,--b -1
0.124737,48,76,--a -2,--b 26
0.158497,59,67,--a 9,--b 17
0.171012,32,70,--a -18,--b 20
0.171896,1,87,--a -49,--b 37
0.16943,92,14,--a 42,--b -36
0.206571,87,68,--a 37,--b 18
0.438968,96,34,--a 46,--b -16
0.204417,98,82,--a 48,--b 32
0.155843,43,14,--a -7,--b -36
0.203332,37,55,--a -13,--b 5
0.21901,20,58,--a -30,--b 8
0.188908,0,92,--a -50,--b 42
0.204728,92,33,--a 42,--b -17
0.140972,64,97,--a 14,--b 47
0.203817,22,64,--a -28,--b 14
0.201672,13,80,--a -37,--b 30
0.172084,38,81,--a -12,--b 31
0.156851,64,77,--a 14,--b 27
0.173577,25,19,--a -25,--b -31
0.109425,47,97,--a -3,--b 47
0.18955,20,69,--a -30,--b 19
0.205585,99,67,--a 49,--b 17
0.186433,0,76,--a -50,--b 26
0.173156,41,62,--a -9,--b 12
0.170269,2,14,--a -48,--b -36
0.141057,46,39,--a -4,--b -11
0.155355,30,7,--a -20,--b -43
0.173022,30,72,--a -20,--b 22
0.169507,10,10,--a -40,--b -40
0.204957,93,62,--a 43,--b 12
0.172392,8,97,--a -42,--b 47
0.157815,68,98,--a 18,--b 48
0.173739,16,16,--a -34,--b -34
0.204094,84,60,--a 34,--b 10
0.156241,70,21,--a 20,--b -29
0.172394,33,67,--a -17,--b 17
0.108792,77,54,--a 27,--b 4
0.188267,27,69,--a -23,--b 19
0.189013,96,93,--a 46,--b 43
0.203042,88,25,--a 38,--b -25
0.218679,91,39,--a 41,--b -11
0.109647,51,85,--a 1,--b 35
0.109491,83,47,--a 33,--b -3
0.170732,56,66,--a 6,--b 16
0.203328,94,33,--a 44,--b -17
0.172382,29,9,--a -21,--b -41
0.1699,28,14,--a -22,--b -36
0.187994,11,78,--a -39,--b 28
0.217392,96,38,--a 46,--b -12
0.172041,31,10,--a -19,--b -40
0.10922,61,49,--a 11,--b -1
0.219416,93,36,--a 43,--b -14
0.187727,87,22,--a 37,--b -28
0.188209,88,28,--a 38,--b -22
0.202652,89,25,--a 39,--b -25
0.219284,87,43,--a 37,--b -7
0.157964,41,17,--a -9,--b -33
0.188115,19,18,--a -31,--b -32
0.408962,30,1,--a -20,--b -49
0.156656,18,2,--a -32,--b -48
0.156833,22,9,--a -28,--b -41
0.155622,32,24,--a -18,--b -26
0.173942,17,17,--a -33,--b -33
0.17477,22,24,--a -28,--b -26
0.18819,18,81,--a -32,--b 31
0.171346,7,80,--a -43,--b 30
0.171985,18,73,--a -32,--b 23
0.094524,84,46,--a 34,--b -4
0.09285,89,48,--a 39,--b -2
0.21802,98,41,--a 48,--b -9
0.185951,92,26,--a 42,--b -24
0.157087,25,10,--a -25,--b -40
0.172834,20,2,--a -30,--b -48
0.156624,34,3,--a -16,--b -47
0.170903,30,11,--a -20,--b -39
0.187593,66,44,--a 16,--b -6
0.139996,52,61,--a 2,--b 11
0.202063,63,54,--a 13,--b 4
0.077588,50,48,--a 0,--b -2
0.20458,81,44,--a 31,--b -6
0.109506,90,44,--a 40,--b -6
0.202858,95,40,--a 45,--b -10
0.094704,85,49,--a 35,--b -1
0.171914,29,11,--a -21,--b -39
0.436262,10,77,--a -40,--b 27
0.201943,95,33,--a 45,--b -17
0.175948,28,13,--a -22,--b -37
0.187329,29,10,--a -21,--b -40
0.190167,29,2,--a -21,--b -48
0.190823,8,78,--a -42,--b 28
0.158614,19,1,--a -31,--b -49
0.140305,39,7,--a -11,--b -43
0.141553,41,9,--a -9,--b -41
0.155459,19,7,--a -31,--b -43
0.186767,3,78,--a -47,--b 28
0.173648,8,79,--a -42,--b 29
0.18874,20,76,--a -30,--b 26
0.423156,5,77,--a -45,--b 27
0.203959,94,27,--a 44,--b -23
0.112323,92,44,--a 42,--b -6
0.220653,84,40,--a 34,--b -10
0.203993,88,38,--a 38,--b -12
0.140805,40,7,--a -10,--b -43
0.186464,21,16,--a -29,--b -34
0.171883,28,9,--a -22,--b -41
0.158139,37,22,--a -13,--b -28
0.141641,36,7,--a -14,--b -43
0.140187,39,10,--a -11,--b -40
0.139698,41,24,--a -9,--b -26
0.15597,20,7,--a -30,--b -43
0.169983,18,10,--a -32,--b -40
0.158362,29,8,--a -21,--b -42
0.15578,19,6,--a -31,--b -44
0.155656,35,22,--a -15,--b -28
0.15661,27,6,--a -23,--b -44
0.140702,38,7,--a -12,--b -43
0.156559,29,14,--a -21,--b -36
0.141448,37,14,--a -13,--b -36
0.187602,4,76,--a -46,--b 26
0.188972,4,73,--a -46,--b 23
0.189099,17,82,--a -33,--b 32
0.173668,8,91,--a -42,--b 41
0.18936,10,78,--a -40,--b 28
0.18755,11,77,--a -39,--b 27
0.173447,29,13,--a -21,--b -37
0.455649,95,34,--a 45,--b -16
0.187562,96,33,--a 46,--b -17
0.42333,4,77,--a -46,--b 27
0.204792,5,76,--a -45,--b 26
0.422899,8,77,--a -42,--b 27
0.406531,28,12,--a -22,--b -38
0.186827,18,79,--a -32,--b 29
0.40612,18,77,--a -32,--b 27
0.186357,11,72,--a -39,--b 22
0.173749,4,82,--a -46,--b 32
0.158135,32,4,--a -18,--b -46
0.141603,41,2,--a -9,--b -48
0.173611,20,4,--a -30,--b -46
0.156655,37,7,--a -13,--b -43
0.219575,96,40,--a 46,--b -10
0.203119,86,34,--a 36,--b -16
0.221755,97,37,--a 47,--b -13
0.171244,8,82,--a -42,--b 32
0.172366,0,85,--a -50,--b 35
0.171504,3,85,--a -47,--b 35
0.186509,17,89,--a -33,--b 39
0.173024,8,90,--a -42,--b 40
0.172741,20,75,--a -30,--b 25
0.188717,3,74,--a -47,--b 24
0.185913,13,71,--a -37,--b 21
0.154863,31,0,--a -19,--b -50
0.420609,40,23,--a -10,--b -27
0.156715,26,16,--a -24,--b -34
0.141543,41,5,--a -9,--b -45
0.171608,33,3,--a -17,--b -47
0.141602,37,9,--a -13,--b -41
0.155575,37,16,--a -13,--b -34
0.170082,36,6,--a -14,--b -44
0.189412,20,12,--a -30,--b -38
0.139935,40,5,--a -10,--b -45
0.156665,34,24,--a -16,--b -26
0.139841,32,1,--a -18,--b -49
0.186453,40,24,--a -10,--b -26
0.155824,41,23,--a -9,--b -27
0.15704,31,1,--a -19,--b -49
0.170419,30,0,--a -20,--b -50
0.434787,94,34,--a 44,--b -16
0.123025,48,22,--a -2,--b -28
0.142508,43,11,--a -7,--b -39
0.171196,31,22,--a -19,--b -28
0.171977,38,19,--a -12,--b -31
0.173667,21,3,--a -29,--b -47
0.155416,37,1,--a -13,--b -49
0.188217,20,11,--a -30,--b -39
0.172593,35,13,--a -15,--b -37
0.110549,85,45,--a 35,--b -5
0.0942,100,46,--a 50,--b -4
0.204948,98,38,--a 48,--b -12
0.157203,23,4,--a -27,--b -46
0.1419,35,9,--a -15,--b -41
0.156035,31,3,--a -19,--b -47
0.155416,35,12,--a -15,--b -38
0.093631,89,44,--a 39,--b -6
0.200436,94,35,--a 44,--b -15
0.203193,99,36,--a 49,--b -14
0.205522,85,28,--a 35,--b -22
0.187502,89,23,--a 39,--b -27
