time,var_1
0.454159,0
0.392482,10
0.410643,20
0.391975,30
0.409516,40
0.441093,50
0.455353,60
0.454795,70
0.467931,80
0.473023,90
0.544545,100
0.890881,110
0.63881,120
0.565882,130
0.589491,140
0.578478,150
0.549072,160
0.56193,170
0.559359,180
0.577508,190
0.593427,200
0.623915,210
0.624495,220
0.661354,230
0.705782,240
0.643416,250
0.656791,260
0.68802,270
0.682367,280
0.746545,290
0.721449,300
0.700544,310
0.703045,320
0.720796,330
0.746884,340
0.753782,350
0.750233,360
0.809851,370
0.780955,380
0.781298,390
0.778522,400
0.809712,410
0.814936,420
0.817483,430
0.828881,440
0.843183,450
0.837582,460
0.869393,470
0.872536,480
0.87449,490
0.879909,500
0.891849,510
0.904537,520
0.908745,530
0.938758,540
0.939686,550
0.957863,560
0.954325,570
0.987693,580
0.983837,590
0.978844,600
1.01526,610
1.020937,620
1.110592,630
1.107236,640
1.085096,650
1.094699,660
1.11432,670
1.163261,680
1.141552,690
1.152428,700
1.142969,710
1.149405,720
1.188563,730
1.213546,740
1.191098,750
1.220642,760
1.340687,770
1.235152,780
1.253588,790
1.2832,800
1.255798,810
1.268178,820
1.275528,830
1.261367,840
1.272069,850
1.29033,860
1.295851,870
1.309941,880
1.315857,890
1.315867,900
1.332289,910
1.35881,920
1.39066,930
1.403736,940
1.394938,950
1.414173,960
1.400301,970
1.433672,980
1.440611,990
