time,var_1_int,var_2_int,var_1_value,var_2_value
0.975374,0,0,--a -100.00,--b -100.00
0.990157,0,645,--a -100.00,--b -93.55
0.941361,0,1290,--a -100.00,--b -87.10
0.956931,0,1935,--a -100.00,--b -80.65
0.954661,0,2580,--a -100.00,--b -74.20
0.988387,0,3225,--a -100.00,--b -67.75
0.997473,0,3870,--a -100.00,--b -61.30
0.96452,0,4515,--a -100.00,--b -54.85
0.965005,0,5160,--a -100.00,--b -48.40
0.959005,0,5805,--a -100.00,--b -41.95
0.967834,0,6450,--a -100.00,--b -35.50
0.977511,0,7095,--a -100.00,--b -29.05
0.948873,0,7740,--a -100.00,--b -22.60
0.940966,0,8385,--a -100.00,--b -16.15
0.941339,0,9030,--a -100.00,--b -9.70
0.939561,0,9675,--a -100.00,--b -3.25
0.958985,0,10320,--a -100.00,--b 3.20
0.993628,0,10965,--a -100.00,--b 9.65
0.976238,0,11610,--a -100.00,--b 16.10
0.998955,0,12255,--a -100.00,--b 22.55
0.964641,0,12900,--a -100.00,--b 29.00
0.953718,0,13545,--a -100.00,--b 35.45
0.968791,0,14190,--a -100.00,--b 41.90
1.066225,0,14835,--a -100.00,--b 48.35
0.966318,0,15480,--a -100.00,--b 54.80
0.993627,0,16125,--a -100.00,--b 61.25
0.948453,0,16770,--a -100.00,--b 67.70
0.940682,0,17415,--a -100.00,--b 74.15
0.989495,0,18060,--a -100.00,--b 80.60
0.949616,0,18705,--a -100.00,--b 87.05
0.965972,0,19350,--a -100.00,--b 93.50
0.977657,0,19995,--a -100.00,--b 99.95
0.971698,645,0,--a -93.55,--b -100.00
0.956712,645,645,--a -93.55,--b -93.55
0.950902,645,1290,--a -93.55,--b -87.10
0.946635,645,1935,--a -93.55,--b -80.65
0.962406,645,2580,--a -93.55,--b -74.20
0.960772,645,3225,--a -93.55,--b -67.75
0.942643,645,3870,--a -93.55,--b -61.30
0.961472,645,4515,--a -93.55,--b -54.85
0.936177,645,5160,--a -93.55,--b -48.40
0.952625,645,5805,--a -93.55,--b -41.95
0.980819,645,6450,--a -93.55,--b -35.50
1.019709,645,7095,--a -93.55,--b -29.05
0.943653,645,7740,--a -93.55,--b -22.60
0.952182,645,8385,--a -93.55,--b -16.15
0.938609,645,9030,--a -93.55,--b -9.70
0.956409,645,9675,--a -93.55,--b -3.25
0.955025,645,10320,--a -93.55,--b 3.20
0.972169,645,10965,--a -93.55,--b 9.65
0.993699,645,11610,--a -93.55,--b 16.10
0.982922,645,12255,--a -93.55,--b 22.55
0.95634,645,12900,--a -93.55,--b 29.00
0.968016,645,13545,--a -93.55,--b 35.45
0.958813,645,14190,--a -93.55,--b 41.90
0.925914,645,14835,--a -93.55,--b 48.35
0.959134,645,15480,--a -93.55,--b 54.80
0.955005,645,16125,--a -93.55,--b 61.25
0.965597,645,16770,--a -93.55,--b 67.70
0.959584,645,17415,--a -93.55,--b 74.15
0.942171,645,18060,--a -93.55,--b 80.60
0.948786,645,18705,--a -93.55,--b 87.05
0.944239,645,19350,--a -93.55,--b 93.50
0.966214,645,19995,--a -93.55,--b 99.95
0.939229,1290,0,--a -87.10,--b -100.00
0.95324,1290,645,--a -87.10,--b -93.55
0.93817,1290,1290,--a -87.10,--b -87.10
0.952049,1290,1935,--a -87.10,--b -80.65
0.952241,1290,2580,--a -87.10,--b -74.20
0.971896,1290,3225,--a -87.10,--b -67.75
0.952506,1290,3870,--a -87.10,--b -61.30
0.958026,1290,4515,--a -87.10,--b -54.85
0.940068,1290,5160,--a -87.10,--b -48.40
0.939532,1290,5805,--a -87.10,--b -41.95
0.94421,1290,6450,--a -87.10,--b -35.50
0.93623,1290,7095,--a -87.10,--b -29.05
0.968,1290,7740,--a -87.10,--b -22.60
0.95445,1290,8385,--a -87.10,--b -16.15
0.954202,1290,9030,--a -87.10,--b -9.70
0.979238,1290,9675,--a -87.10,--b -3.25
0.957354,1290,10320,--a -87.10,--b 3.20
0.954607,1290,10965,--a -87.10,--b 9.65
0.957908,1290,11610,--a -87.10,--b 16.10
0.938595,1290,12255,--a -87.10,--b 22.55
0.963917,1290,12900,--a -87.10,--b 29.00
0.987777,1290,13545,--a -87.10,--b 35.45
0.9422,1290,14190,--a -87.10,--b 41.90
0.971562,1290,14835,--a -87.10,--b 48.35
0.995987,1290,15480,--a -87.10,--b 54.80
0.947223,1290,16125,--a -87.10,--b 61.25
0.941092,1290,16770,--a -87.10,--b 67.70
0.936811,1290,17415,--a -87.10,--b 74.15
0.943436,1290,18060,--a -87.10,--b 80.60
0.947191,1290,18705,--a -87.10,--b 87.05
0.965004,1290,19350,--a -87.10,--b 93.50
0.953978,1290,19995,--a -87.10,--b 99.95
0.938103,1935,0,--a -80.65,--b -100.00
0.948271,1935,645,--a -80.65,--b -93.55
0.950065,1935,1290,--a -80.65,--b -87.10
0.951652,1935,1935,--a -80.65,--b -80.65
0.939686,1935,2580,--a -80.65,--b -74.20
0.971814,1935,3225,--a -80.65,--b -67.75
1.030949,1935,3870,--a -80.65,--b -61.30
0.968517,1935,4515,--a -80.65,--b -54.85
