time,var_1_int,var_2_int,var_1_value,var_2_value
0.390383,163,28,--a 63.00,--b -72.00
0.43983,6,189,--a -94.00,--b 89.00
0.297381,70,62,--a -30.00,--b -38.00
0.363603,57,35,--a -43.00,--b -65.00
0.4268,188,26,--a 88.00,--b -74.00
0.424767,173,189,--a 73.00,--b 89.00
0.392951,139,22,--a 39.00,--b -78.00
0.361174,151,108,--a 51.00,--b 8.00
0.435706,8,7,--a -92.00,--b -93.00
0.442314,23,55,--a -77.00,--b -45.00
0.328763,59,129,--a -41.00,--b 29.00
0.420837,154,6,--a 54.00,--b -94.00
0.36298,143,50,--a 43.00,--b -50.00
0.405954,183,166,--a 83.00,--b 66.00
0.426386,179,139,--a 79.00,--b 39.00
0.331919,107,56,--a 7.00,--b -44.00
0.345772,114,150,--a 14.00,--b 50.00
0.421766,71,1,--a -29.00,--b -99.00
0.421591,194,40,--a 94.00,--b -60.00
0.404106,178,108,--a 78.00,--b 8.00
0.281254,87,71,--a -13.00,--b -29.00
0.376557,39,55,--a -61.00,--b -45.00
0.42863,195,86,--a 95.00,--b -14.00
0.42232,26,23,--a -74.00,--b -77.00
0.409171,97,24,--a -3.00,--b -76.00
0.220607,91,88,--a -9.00,--b -12.00
0.361518,154,67,--a 54.00,--b -33.00
0.423754,11,186,--a -89.00,--b 86.00
0.317102,117,137,--a 17.00,--b 37.00
0.393929,31,96,--a -69.00,--b -4.00
0.437152,20,141,--a -80.00,--b 41.00
0.344365,75,160,--a -25.00,--b 60.00
0.38862,158,92,--a 58.00,--b -8.00
0.423168,147,49,--a 47.00,--b -51.00
0.44045,180,17,--a 80.00,--b -83.00
0.422693,11,169,--a -89.00,--b 69.00
0.408537,58,197,--a -42.00,--b 97.00
0.393741,74,20,--a -26.00,--b -80.00
0.397823,59,25,--a -41.00,--b -75.00
0.290077,97,71,--a -3.00,--b -29.00
0.390803,116,162,--a 16.00,--b 62.00
0.360788,93,41,--a -7.00,--b -59.00
0.222238,94,90,--a -6.00,--b -10.00
0.404316,53,171,--a -47.00,--b 71.00
0.3921,68,179,--a -32.00,--b 79.00
0.405196,174,165,--a 74.00,--b 65.00
0.402922,18,155,--a -82.00,--b 55.00
0.394805,162,43,--a 62.00,--b -57.00
0.423995,136,186,--a 36.00,--b 86.00
0.348173,62,41,--a -38.00,--b -59.00
0.266197,118,97,--a 18.00,--b -3.00
0.377999,69,163,--a -31.00,--b 63.00
0.406436,176,142,--a 76.00,--b 42.00
0.392798,56,175,--a -44.00,--b 75.00
0.423491,83,196,--a -17.00,--b 96.00
0.450457,198,14,--a 98.00,--b -86.00
0.42256,58,8,--a -42.00,--b -92.00
0.267374,80,102,--a -20.00,--b 2.00
0.40691,68,16,--a -32.00,--b -84.00
0.38147,54,145,--a -46.00,--b 45.00
0.411893,183,80,--a 83.00,--b -20.00
0.381191,54,167,--a -46.00,--b 67.00
0.28349,127,101,--a 27.00,--b 1.00
0.380086,164,117,--a 64.00,--b 17.00
0.379439,36,67,--a -64.00,--b -33.00
0.381922,35,63,--a -65.00,--b -37.00
0.428181,190,143,--a 90.00,--b 43.00
0.332114,137,67,--a 37.00,--b -33.00
0.411265,191,149,--a 91.00,--b 49.00
0.343228,109,149,--a 9.00,--b 49.00
0.221895,102,92,--a 2.00,--b -8.00
0.381502,56,35,--a -44.00,--b -65.00
0.285977,130,126,--a 30.00,--b 26.00
0.42103,23,193,--a -77.00,--b 93.00
0.410349,12,28,--a -88.00,--b -72.00
0.39051,39,160,--a -61.00,--b 60.00
0.403755,40,174,--a -60.00,--b 74.00
0.348305,108,152,--a 8.00,--b 52.00
0.412267,16,98,--a -84.00,--b -2.00
0.350371,97,152,--a -3.00,--b 52.00
0.29727,119,135,--a 19.00,--b 35.00
0.332295,64,141,--a -36.00,--b 41.00
0.44306,2,174,--a -98.00,--b 74.00
0.410937,184,29,--a 84.00,--b -71.00
0.390513,174,137,--a 74.00,--b 37.00
0.405644,192,68,--a 92.00,--b -32.00
0.408616,196,164,--a 96.00,--b 64.00
0.391036,87,28,--a -13.00,--b -72.00
0.27922,75,111,--a -25.00,--b 11.00
0.389957,40,116,--a -60.00,--b 16.00
0.439255,0,184,--a -100.00,--b 84.00
0.40764,184,67,--a 84.00,--b -33.00
0.424131,128,195,--a 28.00,--b 95.00
0.361972,45,129,--a -55.00,--b 29.00
0.424339,27,160,--a -73.00,--b 60.00
0.376288,76,163,--a -24.00,--b 63.00
0.375698,129,155,--a 29.00,--b 55.00
0.378388,50,39,--a -50.00,--b -61.00
0.426068,95,195,--a -5.00,--b 95.00
0.375333,41,138,--a -59.00,--b 38.00
0.42069,199,135,--a 99.00,--b 35.00
0.437553,0,153,--a -100.00,--b 53.00
0.297641,82,125,--a -18.00,--b 25.00
0.422558,4,28,--a -96.00,--b -72.00
0.267345,92,78,--a -8.00,--b -22.00
0.412756,61,14,--a -39.00,--b -86.00
0.347086,61,145,--a -39.00,--b 45.00
0.425165,20,21,--a -80.00,--b -79.00
0.423473,187,124,--a 87.00,--b 24.00
0.437791,17,194,--a -83.00,--b 94.00
0.421112,136,196,--a 36.00,--b 96.00
0.408953,32,32,--a -68.00,--b -68.00
0.390925,168,121,--a 68.00,--b 21.00
0.390204,140,42,--a 40.00,--b -58.00
0.328468,67,135,--a -33.00,--b 35.00
0.373858,155,108,--a 55.00,--b 8.00
