time,var_1_int,var_2_int,var_1_value,var_2_value
0.437357,0,0,--a -100.00,--b -100.00
0.420985,0,6,--a -100.00,--b -94.00
0.438465,0,12,--a -100.00,--b -88.00
0.441295,0,18,--a -100.00,--b -82.00
0.468864,0,24,--a -100.00,--b -76.00
0.440365,0,30,--a -100.00,--b -70.00
0.456629,0,36,--a -100.00,--b -64.00
0.422236,0,42,--a -100.00,--b -58.00
0.422404,0,48,--a -100.00,--b -52.00
0.422941,0,54,--a -100.00,--b -46.00
0.425017,0,60,--a -100.00,--b -40.00
0.438538,0,66,--a -100.00,--b -34.00
0.440779,0,72,--a -100.00,--b -28.00
0.454552,0,78,--a -100.00,--b -22.00
0.435916,0,84,--a -100.00,--b -16.00
0.455082,0,90,--a -100.00,--b -10.00
0.437222,0,96,--a -100.00,--b -4.00
0.469016,0,102,--a -100.00,--b 2.00
0.438107,0,108,--a -100.00,--b 8.00
0.4535,0,114,--a -100.00,--b 14.00
0.426527,0,120,--a -100.00,--b 20.00
0.442683,0,126,--a -100.00,--b 26.00
0.422701,0,132,--a -100.00,--b 32.00
0.43516,0,138,--a -100.00,--b 38.00
0.443237,0,144,--a -100.00,--b 44.00
0.439512,0,150,--a -100.00,--b 50.00
0.425793,0,156,--a -100.00,--b 56.00
0.435159,0,162,--a -100.00,--b 62.00
0.423205,0,168,--a -100.00,--b 68.00
0.426178,0,174,--a -100.00,--b 74.00
0.439376,0,180,--a -100.00,--b 80.00
0.438015,0,186,--a -100.00,--b 86.00
0.440807,0,192,--a -100.00,--b 92.00
0.484348,0,198,--a -100.00,--b 98.00
0.441319,6,0,--a -94.00,--b -100.00
0.423416,6,6,--a -94.00,--b -94.00
0.421977,6,12,--a -94.00,--b -88.00
0.42346,6,18,--a -94.00,--b -82.00
0.408414,6,24,--a -94.00,--b -76.00
0.405584,6,30,--a -94.00,--b -70.00
0.40712,6,36,--a -94.00,--b -64.00
0.405684,6,42,--a -94.00,--b -58.00
0.404175,6,48,--a -94.00,--b -52.00
0.421301,6,54,--a -94.00,--b -46.00
0.407238,6,60,--a -94.00,--b -40.00
0.406539,6,66,--a -94.00,--b -34.00
0.405437,6,72,--a -94.00,--b -28.00
0.421447,6,78,--a -94.00,--b -22.00
0.405093,6,84,--a -94.00,--b -16.00
0.407856,6,90,--a -94.00,--b -10.00
0.421555,6,96,--a -94.00,--b -4.00
0.407213,6,102,--a -94.00,--b 2.00
0.406609,6,108,--a -94.00,--b 8.00
0.408103,6,114,--a -94.00,--b 14.00
0.407993,6,120,--a -94.00,--b 20.00
0.405535,6,126,--a -94.00,--b 26.00
0.405681,6,132,--a -94.00,--b 32.00
0.407178,6,138,--a -94.00,--b 38.00
0.422617,6,144,--a -94.00,--b 44.00
0.420074,6,150,--a -94.00,--b 50.00
0.424175,6,156,--a -94.00,--b 56.00
0.421813,6,162,--a -94.00,--b 62.00
0.457466,6,168,--a -94.00,--b 68.00
0.405735,6,174,--a -94.00,--b 74.00
0.405246,6,180,--a -94.00,--b 80.00
0.42298,6,186,--a -94.00,--b 86.00
0.424412,6,192,--a -94.00,--b 92.00
0.42544,6,198,--a -94.00,--b 98.00
0.44109,12,0,--a -88.00,--b -100.00
0.423581,12,6,--a -88.00,--b -94.00
0.420937,12,12,--a -88.00,--b -88.00
0.440604,12,18,--a -88.00,--b -82.00
0.409553,12,24,--a -88.00,--b -76.00
0.404029,12,30,--a -88.00,--b -70.00
0.406841,12,36,--a -88.00,--b -64.00
0.405773,12,42,--a -88.00,--b -58.00
0.406901,12,48,--a -88.00,--b -52.00
0.407771,12,54,--a -88.00,--b -46.00
0.404429,12,60,--a -88.00,--b -40.00
0.407821,12,66,--a -88.00,--b -34.00
0.406117,12,72,--a -88.00,--b -28.00
0.408864,12,78,--a -88.00,--b -22.00
0.425084,12,84,--a -88.00,--b -16.00
0.409409,12,90,--a -88.00,--b -10.00
0.425767,12,96,--a -88.00,--b -4.00
0.406403,12,102,--a -88.00,--b 2.00
0.405359,12,108,--a -88.00,--b 8.00
0.406025,12,114,--a -88.00,--b 14.00
0.404882,12,120,--a -88.00,--b 20.00
0.437592,12,126,--a -88.00,--b 26.00
0.437657,12,132,--a -88.00,--b 32.00
0.420503,12,138,--a -88.00,--b 38.00
0.439852,12,144,--a -88.00,--b 44.00
0.407823,12,150,--a -88.00,--b 50.00
0.408595,12,156,--a -88.00,--b 56.00
0.409137,12,162,--a -88.00,--b 62.00
0.406833,12,168,--a -88.00,--b 68.00
0.419123,12,174,--a -88.00,--b 74.00
0.407069,12,180,--a -88.00,--b 80.00
0.407863,12,186,--a -88.00,--b 86.00
0.42378,12,192,--a -88.00,--b 92.00
0.456989,12,198,--a -88.00,--b 98.00
0.454477,18,0,--a -82.00,--b -100.00
0.425027,18,6,--a -82.00,--b -94.00
0.408187,18,12,--a -82.00,--b -88.00
0.409042,18,18,--a -82.00,--b -82.00
0.407736,18,24,--a -82.00,--b -76.00
0.410213,18,30,--a -82.00,--b -70.00
0.423137,18,36,--a -82.00,--b -64.00
0.392836,18,42,--a -82.00,--b -58.00
0.388793,18,48,--a -82.00,--b -52.00
0.389807,18,54,--a -82.00,--b -46.00
0.393256,18,60,--a -82.00,--b -40.00
0.406595,18,66,--a -82.00,--b -34.00
0.391033,18,72,--a -82.00,--b -28.00
0.390161,18,78,--a -82.00,--b -22.00
