time,var_1_int,var_2_int,var_1_value,var_2_value
0.425878,0,0,--a -100.00,--b -100.00
0.437783,0,12,--a -100.00,--b -94.00
0.428237,0,24,--a -100.00,--b -88.00
0.425537,0,36,--a -100.00,--b -82.00
0.423784,0,48,--a -100.00,--b -76.00
0.443757,0,60,--a -100.00,--b -70.00
0.440323,0,72,--a -100.00,--b -64.00
0.422621,0,84,--a -100.00,--b -58.00
0.424782,0,96,--a -100.00,--b -52.00
0.424987,0,108,--a -100.00,--b -46.00
0.425102,0,120,--a -100.00,--b -40.00
0.43682,0,132,--a -100.00,--b -34.00
0.436892,0,144,--a -100.00,--b -28.00
0.421707,0,156,--a -100.00,--b -22.00
0.439351,0,168,--a -100.00,--b -16.00
0.43739,0,180,--a -100.00,--b -10.00
0.443293,0,192,--a -100.00,--b -4.00
0.422547,0,204,--a -100.00,--b 2.00
0.425304,0,216,--a -100.00,--b 8.00
0.422099,0,228,--a -100.00,--b 14.00
0.422069,0,240,--a -100.00,--b 20.00
0.427223,0,252,--a -100.00,--b 26.00
0.443202,0,264,--a -100.00,--b 32.00
0.423424,0,276,--a -100.00,--b 38.00
0.42434,0,288,--a -100.00,--b 44.00
0.421315,0,300,--a -100.00,--b 50.00
0.44477,0,312,--a -100.00,--b 56.00
0.430145,0,324,--a -100.00,--b 62.00
0.443086,0,336,--a -100.00,--b 68.00
0.437498,0,348,--a -100.00,--b 74.00
0.438493,0,360,--a -100.00,--b 80.00
0.455217,0,372,--a -100.00,--b 86.00
0.429861,0,384,--a -100.00,--b 92.00
0.425728,0,396,--a -100.00,--b 98.00
0.440475,12,0,--a -94.00,--b -100.00
0.424258,12,12,--a -94.00,--b -94.00
0.419908,12,24,--a -94.00,--b -88.00
0.424188,12,36,--a -94.00,--b -82.00
0.411559,12,48,--a -94.00,--b -76.00
0.410299,12,60,--a -94.00,--b -70.00
0.439033,12,72,--a -94.00,--b -64.00
0.409081,12,84,--a -94.00,--b -58.00
0.406972,12,96,--a -94.00,--b -52.00
0.406151,12,108,--a -94.00,--b -46.00
0.411705,12,120,--a -94.00,--b -40.00
0.424923,12,132,--a -94.00,--b -34.00
0.40766,12,144,--a -94.00,--b -28.00
0.422932,12,156,--a -94.00,--b -22.00
0.421097,12,168,--a -94.00,--b -16.00
0.428626,12,180,--a -94.00,--b -10.00
0.410771,12,192,--a -94.00,--b -4.00
0.407596,12,204,--a -94.00,--b 2.00
0.404756,12,216,--a -94.00,--b 8.00
0.405647,12,228,--a -94.00,--b 14.00
0.422174,12,240,--a -94.00,--b 20.00
0.426466,12,252,--a -94.00,--b 26.00
0.426846,12,264,--a -94.00,--b 32.00
0.407103,12,276,--a -94.00,--b 38.00
0.408853,12,288,--a -94.00,--b 44.00
0.406663,12,300,--a -94.00,--b 50.00
0.407303,12,312,--a -94.00,--b 56.00
0.407299,12,324,--a -94.00,--b 62.00
0.408194,12,336,--a -94.00,--b 68.00
0.406247,12,348,--a -94.00,--b 74.00
0.420365,12,360,--a -94.00,--b 80.00
0.424511,12,372,--a -94.00,--b 86.00
0.423095,12,384,--a -94.00,--b 92.00
0.442789,12,396,--a -94.00,--b 98.00
0.425847,24,0,--a -88.00,--b -100.00
0.423982,24,12,--a -88.00,--b -94.00
0.424716,24,24,--a -88.00,--b -88.00
0.421085,24,36,--a -88.00,--b -82.00
0.423879,24,48,--a -88.00,--b -76.00
0.427313,24,60,--a -88.00,--b -70.00
0.40619,24,72,--a -88.00,--b -64.00
0.411348,24,84,--a -88.00,--b -58.00
0.407894,24,96,--a -88.00,--b -52.00
0.409416,24,108,--a -88.00,--b -46.00
0.441675,24,120,--a -88.00,--b -40.00
0.409389,24,132,--a -88.00,--b -34.00
0.407913,24,144,--a -88.00,--b -28.00
0.406782,24,156,--a -88.00,--b -22.00
0.410636,24,168,--a -88.00,--b -16.00
0.421097,24,180,--a -88.00,--b -10.00
0.426894,24,192,--a -88.00,--b -4.00
0.408775,24,204,--a -88.00,--b 2.00
0.412089,24,216,--a -88.00,--b 8.00
0.421725,24,228,--a -88.00,--b 14.00
0.405882,24,240,--a -88.00,--b 20.00
0.404764,24,252,--a -88.00,--b 26.00
0.43363,24,264,--a -88.00,--b 32.00
0.466836,24,276,--a -88.00,--b 38.00
0.408174,24,288,--a -88.00,--b 44.00
0.405336,24,300,--a -88.00,--b 50.00
0.408509,24,312,--a -88.00,--b 56.00
0.406993,24,324,--a -88.00,--b 62.00
0.41264,24,336,--a -88.00,--b 68.00
0.428506,24,348,--a -88.00,--b 74.00
0.411061,24,360,--a -88.00,--b 80.00
0.426602,24,372,--a -88.00,--b 86.00
0.460922,24,384,--a -88.00,--b 92.00
0.424186,24,396,--a -88.00,--b 98.00
0.442431,36,0,--a -82.00,--b -100.00
0.437921,36,12,--a -82.00,--b -94.00
0.421813,36,24,--a -82.00,--b -88.00
0.419993,36,36,--a -82.00,--b -82.00
0.422142,36,48,--a -82.00,--b -76.00
0.413983,36,60,--a -82.00,--b -70.00
0.388413,36,72,--a -82.00,--b -64.00
0.394682,36,84,--a -82.00,--b -58.00
0.391632,36,96,--a -82.00,--b -52.00
0.396642,36,108,--a -82.00,--b -46.00
0.401478,36,120,--a -82.00,--b -40.00
0.394762,36,132,--a -82.00,--b -34.00
0.405451,36,144,--a -82.00,--b -28.00
0.405387,36,156,--a -82.00,--b -22.00
0.405501,36,168,--a -82.00,--b -16.00
0.405997,36,180,--a -82.00,--b -10.00
0.409803,36,192,--a -82.00,--b -4.00
0.398837,36,204,--a -82.00,--b 2.00
0.389883,36,216,--a -82.00,--b 8.00
0.390409,36,228,--a -82.00,--b 14.00
0.391989,36,240,--a -82.00,--b 20.00
0.39171,36,252,--a -82.00,--b 26.00
0.391784,36,264,--a -82.00,--b 32.00
0.39731,36,276,--a -82.00,--b 38.00
0.396698,36,288,--a -82.00,--b 44.00
0.393416,36,300,--a -82.00,--b 50.00
0.407994,36,312,--a -82.00,--b 56.00
0.410051,36,324,--a -82.00,--b 62.00
0.452034,36,336,--a -82.00,--b 68.00
0.415304,36,348,--a -82.00,--b 74.00
0.404354,36,360,--a -82.00,--b 80.00
0.404595,36,372,--a -82.00,--b 86.00
0.411301,36,384,--a -82.00,--b 92.00
0.459599,36,396,--a -82.00,--b 98.00
0.427759,48,0,--a -76.00,--b -100.00
0.409837,48,12,--a -76.00,--b -94.00
0.424015,48,24,--a -76.00,--b -88.00
0.423206,48,36,--a -76.00,--b -82.00
0.404356,48,48,--a -76.00,--b -76.00
0.406504,48,60,--a -76.00,--b -70.00
0.404804,48,72,--a -76.00,--b -64.00
0.425413,48,84,--a -76.00,--b -58.00
0.392934,48,96,--a -76.00,--b -52.00
0.391885,48,108,--a -76.00,--b -46.00
0.390001,48,120,--a -76.00,--b -40.00
