time,var_1
0.36955,0
0.064075,1
0.063875,2
0.063254,3
0.062071,4
0.063797,5
0.064002,6
0.062058,7
0.063293,8
0.062989,9
0.06493,10
0.063136,11
0.079183,12
0.083431,13
0.072916,14
0.06316,15
0.079321,16
0.080794,17
0.079162,18
0.078783,19
0.082302,20
0.094674,21
0.093172,22
0.094579,23
0.094698,24
0.096629,25
0.09717,26
0.091695,27
0.094776,28
0.100504,29
0.09136,30
0.094739,31
0.096735,32
0.107788,33
0.096471,34
0.111319,35
0.113293,36
0.111241,37
0.123237,38
0.109619,39
0.116287,40
0.103248,41
0.109547,42
0.110737,43
0.112065,44
0.111441,45
0.113508,46
0.123495,47
0.112842,48
0.127323,49
0.125144,50
0.124087,51
0.12402,52
0.127995,53
0.125238,54
0.139957,55
0.120856,56
0.127432,57
0.124129,58
0.12655,59
0.137641,60
0.14113,61
0.139704,62
0.139733,63
0.124682,64
0.142933,65
0.127928,66
0.142147,67
0.145233,68
0.14063,69
0.141377,70
0.142006,71
0.140462,72
0.15908,73
0.140483,74
0.141132,75
0.144212,76
0.156711,77
0.156992,78
0.139431,79
0.155016,80
0.155758,81
0.160003,82
0.155839,83
0.142175,84
0.160775,85
0.161018,86
0.173947,87
0.171285,88
0.155804,89
0.172602,90
