time,var_1,var_2
0.095988,0,0
0.095778,0,2
0.111943,0,4
0.110927,0,6
0.112015,0,8
0.111866,0,10
0.127531,0,12
0.126641,0,14
0.127814,0,16
0.126899,0,18
0.127925,0,20
0.143868,0,22
0.142978,0,24
0.156801,0,26
0.15805,0,28
0.157823,0,30
0.15885,0,32
0.174911,0,34
0.173952,0,36
0.174905,0,38
0.175987,0,40
0.174022,0,42
0.190837,0,44
0.187965,0,46
0.188814,0,48
0.191223,0,50
0.205601,0,52
0.208001,0,54
0.205093,0,56
0.206968,0,58
0.223081,0,60
0.235947,0,62
0.237567,0,64
0.238191,0,66
0.222984,0,68
0.236791,0,70
0.236968,0,72
0.237952,0,74
0.250912,0,76
0.256079,0,78
0.251778,0,80
0.255891,0,82
0.26707,0,84
0.270837,0,86
0.282528,0,88
0.271253,0,90
0.094801,2,0
0.110496,2,2
0.110495,2,4
0.110974,2,6
0.109621,2,8
0.12468,2,10
0.126055,2,12
0.12685,2,14
0.125982,2,16
0.124914,2,18
0.140931,2,20
0.142355,2,22
0.156075,2,24
0.159717,2,26
0.15725,2,28
0.159586,2,30
0.159916,2,32
0.158915,2,34
0.173863,2,36
0.170785,2,38
0.173935,2,40
0.175883,2,42
0.190952,2,44
0.189911,2,46
0.189857,2,48
0.205029,2,50
0.205034,2,52
0.207791,2,54
0.206258,2,56
0.221537,2,58
0.223022,2,60
0.223998,2,62
0.221839,2,64
0.22192,2,66
0.237141,2,68
0.248801,2,70
0.253092,2,72
0.238976,2,74
0.253824,2,76
0.25281,2,78
0.269169,2,80
0.270661,2,82
0.271937,2,84
0.271002,2,86
0.271878,2,88
0.286915,2,90
0.11135,4,0
0.097723,4,2
0.10683,4,4
0.110739,4,6
0.108861,4,8
0.110897,4,10
0.127889,4,12
0.126393,4,14
0.127215,4,16
0.142099,4,18
0.144034,4,20
0.143852,4,22
0.143929,4,24
0.159928,4,26
0.159878,4,28
0.161808,4,30
0.170402,4,32
0.175333,4,34
0.176082,4,36
0.173711,4,38
0.175323,4,40
0.187418,4,42
0.206784,4,44
0.19042,4,46
0.20597,4,48
0.190107,4,50
0.203958,4,52
0.206989,4,54
0.206856,4,56
0.22289,4,58
0.221889,4,60
0.220155,4,62
0.222692,4,64
0.237951,4,66
0.240102,4,68
0.240003,4,70
