time,var_1,var_2,var_3
0.096353,0,0,0
0.030545,0,0,12
0.019248,0,0,24
0.018398,0,0,36
0.018333,0,0,48
0.018703,0,0,60
0.018189,0,0,72
0.018372,0,0,84
0.078226,0,12,0
0.064106,0,12,12
0.046558,0,12,24
0.030418,0,12,36
0.018619,0,12,48
0.019803,0,12,60
0.020269,0,12,72
0.01846,0,12,84
0.097543,0,24,0
0.077684,0,24,12
0.078537,0,24,24
0.063533,0,24,36
0.045782,0,24,48
0.030446,0,24,60
0.020214,0,24,72
0.019532,0,24,84
0.11858,0,36,0
0.107996,0,36,12
0.097888,0,36,24
0.079113,0,36,36
0.081026,0,36,48
0.061106,0,36,60
0.046391,0,36,72
0.030598,0,36,84
0.144489,0,48,0
0.139922,0,48,12
0.124609,0,48,24
0.108536,0,48,36
0.097288,0,48,48
0.091707,0,48,60
0.077748,0,48,72
0.063196,0,48,84
0.172716,0,60,0
0.15812,0,60,12
0.139715,0,60,24
0.142136,0,60,36
0.12425,0,60,48
0.110481,0,60,60
0.090751,0,60,72
0.0811,0,60,84
0.191324,0,72,0
0.184056,0,72,12
0.174507,0,72,24
0.161081,0,72,36
0.142227,0,72,48
0.140115,0,72,60
0.125585,0,72,72
0.107279,0,72,84
0.219638,0,84,0
0.206024,0,84,12
0.187303,0,84,24
0.188477,0,84,36
0.169485,0,84,48
0.160279,0,84,60
0.138248,0,84,72
0.138679,0,84,84
0.062571,12,0,0
0.046348,12,0,12
0.045712,12,0,24
0.018971,12,0,36
0.019382,12,0,48
0.018536,12,0,60
0.018621,12,0,72
0.01846,12,0,84
0.080542,12,12,0
0.076562,12,12,12
0.063079,12,12,24
0.046883,12,12,36
0.029437,12,12,48
0.018076,12,12,60
0.017469,12,12,72
0.018635,12,12,84
0.100647,12,24,0
0.096131,12,24,12
0.091275,12,24,24
0.082212,12,24,36
0.059152,12,24,48
0.044489,12,24,60
0.030606,12,24,72
0.019765,12,24,84
0.140948,12,36,0
0.127467,12,36,12
0.106401,12,36,24
0.095437,12,36,36
0.090495,12,36,48
0.078753,12,36,60
0.063988,12,36,72
0.048118,12,36,84
0.156098,12,48,0
0.154104,12,48,12
0.140859,12,48,24
0.121918,12,48,36
0.112401,12,48,48
0.094405,12,48,60
0.078826,12,48,72
0.078322,12,48,84
0.19001,12,60,0
0.170326,12,60,12
0.155632,12,60,24
0.142919,12,60,36
0.142697,12,60,48
0.124575,12,60,60
0.109338,12,60,72
0.092151,12,60,84
0.208502,12,72,0
0.188999,12,72,12
0.187739,12,72,24
0.172211,12,72,36
0.158122,12,72,48
0.154606,12,72,60
0.141281,12,72,72
0.127036,12,72,84
0.236145,12,84,0
0.216713,12,84,12
0.2041,12,84,24
0.184485,12,84,36
0.189037,12,84,48
0.170692,12,84,60
0.154722,12,84,72
0.139068,12,84,84
0.079878,24,0,0
0.061993,24,0,12
0.046656,24,0,24
0.029971,24,0,36
0.018045,24,0,48
0.017827,24,0,60
0.017873,24,0,72
0.017617,24,0,84
0.099961,24,12,0
0.093452,24,12,12
0.076593,24,12,24
0.061255,24,12,36
0.044815,24,12,48
0.029919,24,12,60
0.018027,24,12,72
0.01768,24,12,84
0.125505,24,24,0
0.10873,24,24,12
0.091808,24,24,24
0.079296,24,24,36
0.075876,24,24,48
0.062695,24,24,60
0.044668,24,24,72
0.031297,24,24,84
0.145195,24,36,0
0.124358,24,36,12
0.128427,24,36,24
0.109868,24,36,36
0.092203,24,36,48
0.081061,24,36,60
0.074918,24,36,72
0.064284,24,36,84
0.174298,24,48,0
0.154385,24,48,12
0.137372,24,48,24
0.127266,24,48,36
0.126771,24,48,48
0.111261,24,48,60
0.091125,24,48,72
0.094174,24,48,84
0.188785,24,60,0
0.190792,24,60,12
0.166794,24,60,24
0.158502,24,60,36
0.14053,24,60,48
0.143836,24,60,60
0.124066,24,60,72
0.107079,24,60,84
0.219603,24,72,0
0.213138,24,72,12
0.187408,24,72,24
0.18676,24,72,36
0.171599,24,72,48
0.1537,24,72,60
0.140027,24,72,72
0.139525,24,72,84
0.236573,24,84,0
0.235521,24,84,12
0.22241,24,84,24
0.202806,24,84,36
0.189346,24,84,48
0.187752,24,84,60
0.170639,24,84,72
0.152336,24,84,84
0.08049,36,0,0
0.079061,36,0,12
0.059242,36,0,24
0.04867,36,0,36
0.030061,36,0,48
0.017689,36,0,60
0.017703,36,0,72
0.018117,36,0,84
0.105683,36,12,0
0.092681,36,12,12
0.095378,36,12,24
0.074042,36,12,36
0.064046,36,12,48
0.047352,36,12,60
0.03131,36,12,72
0.018322,36,12,84
0.139005,36,24,0
0.128035,36,24,12
0.111105,36,24,24
0.092999,36,24,36
0.093136,36,24,48
0.078939,36,24,60
0.06031,36,24,72
0.04623,36,24,84
0.157331,36,36,0
0.139531,36,36,12
0.140037,36,36,24
0.12479,36,36,36
0.110125,36,36,48
0.106635,36,36,60
0.07858,36,36,72
0.077951,36,36,84
0.191095,36,48,0
0.168975,36,48,12
0.157596,36,48,24
0.140077,36,48,36
0.141142,36,48,48
0.12507,36,48,60
0.108742,36,48,72
0.093328,36,48,84
0.204811,36,60,0
0.199951,36,60,12
0.18507,36,60,24
0.173788,36,60,36
0.152515,36,60,48
0.141158,36,60,60
0.139656,36,60,72
0.127223,36,60,84
0.235166,36,72,0
0.220464,36,72,12
0.202043,36,72,24
0.186702,36,72,36
0.185085,36,72,48
0.17243,36,72,60
0.158925,36,72,72
0.143233,36,72,84
0.248916,36,84,0
0.246735,36,84,12
0.234644,36,84,24
0.221287,36,84,36
0.204168,36,84,48
0.201185,36,84,60
0.185273,36,84,72
0.168193,36,84,84
0.097047,48,0,0
0.080094,48,0,12
0.077437,48,0,24
0.062923,48,0,36
0.045305,48,0,48
0.03134,48,0,60
0.018256,48,0,72
0.018891,48,0,84
0.123062,48,12,0
0.112134,48,12,12
0.091455,48,12,24
0.091457,48,12,36
0.080976,48,12,48
0.061364,48,12,60
0.046367,48,12,72
0.030452,48,12,84
0.142723,48,24,0
0.126735,48,24,12
0.125681,48,24,24
0.1112,48,24,36
0.092959,48,24,48
0.080716,48,24,60
0.077148,48,24,72
0.06202,48,24,84
0.172774,48,36,0
0.155388,48,36,12
0.139685,48,36,24
0.139609,48,36,36
0.122005,48,36,48
0.109626,48,36,60
0.095268,48,36,72
0.07857,48,36,84
0.186913,48,48,0
0.190561,48,48,12
0.168676,48,48,24
0.159654,48,48,36
0.141729,48,48,48
0.125276,48,48,60
0.123438,48,48,72
0.108292,48,48,84
0.223741,48,60,0
0.200919,48,60,12
0.187213,48,60,24
0.188712,48,60,36
0.168574,48,60,48
0.159355,48,60,60
0.153111,48,60,72
0.139686,48,60,84
0.236883,48,72,0
0.232554,48,72,12
0.220997,48,72,24
0.20201,48,72,36
0.199047,48,72,48
0.186873,48,72,60
0.172311,48,72,72
0.151926,48,72,84
0.269396,48,84,0
0.251593,48,84,12
0.249013,48,84,24
0.224117,48,84,36
0.21681,48,84,48
0.205028,48,84,60
0.186475,48,84,72
0.187034,48,84,84
0.108322,60,0,0
0.094438,60,0,12
0.092478,60,0,24
0.078129,60,0,36
0.061152,60,0,48
0.047383,60,0,60
0.02942,60,0,72
0.017515,60,0,84
0.126098,60,12,0
0.124522,60,12,12
0.107937,60,12,24
0.091601,60,12,36
0.079799,60,12,48
0.077776,60,12,60
0.063586,60,12,72
0.046448,60,12,84
0.160422,60,24,0
0.141233,60,24,12
0.13921,60,24,24
0.126578,60,24,36
0.107429,60,24,48
0.094718,60,24,60
0.091692,60,24,72
0.063341,60,24,84
0.173976,60,36,0
0.171826,60,36,12
0.155836,60,36,24
0.141168,60,36,36
0.142442,60,36,48
0.119905,60,36,60
0.114162,60,36,72
0.092203,60,36,84
0.205763,60,48,0
0.202949,60,48,12
0.186522,60,48,24
0.170545,60,48,36
0.15918,60,48,48
0.139423,60,48,60
0.142066,60,48,72
0.124078,60,48,84
0.234037,60,60,0
0.216747,60,60,12
0.202474,60,60,24
0.187367,60,60,36
0.185177,60,60,48
0.175021,60,60,60
0.155152,60,60,72
0.138697,60,60,84
0.250743,60,72,0
0.234446,60,72,12
0.233129,60,72,24
0.216717,60,72,36
0.204463,60,72,48
0.187919,60,72,60
0.18789,60,72,72
0.169332,60,72,84
0.282976,60,84,0
0.266531,60,84,12
0.249361,60,84,24
0.24882,60,84,36
0.233592,60,84,48
0.222163,60,84,60
0.20468,60,84,72
0.200532,60,84,84
0.122188,72,0,0
0.110586,72,0,12
0.095229,72,0,24
0.078708,72,0,36
0.081233,72,0,48
0.061664,72,0,60
0.046291,72,0,72
0.029948,72,0,84
0.145483,72,12,0
0.139338,72,12,12
0.122801,72,12,24
0.109046,72,12,36
0.09433,72,12,48
0.093229,72,12,60
0.080179,72,12,72
0.06091,72,12,84
0.172025,72,24,0
0.154709,72,24,12
0.143202,72,24,24
0.138967,72,24,36
0.124719,72,24,48
0.109756,72,24,60
0.092227,72,24,72
0.079338,72,24,84
0.192381,72,36,0
0.188124,72,36,12
0.172303,72,36,24
0.157256,72,36,36
0.138983,72,36,48
0.140073,72,36,60
0.124941,72,36,72
0.107152,72,36,84
0.219156,72,48,0
0.203523,72,48,12
0.201349,72,48,24
0.189149,72,48,36
0.166748,72,48,48
0.158915,72,48,60
0.143451,72,48,72
0.138059,72,48,84
0.246738,72,60,0
0.236154,72,60,12
0.218348,72,60,24
0.201662,72,60,36
0.186895,72,60,48
0.187395,72,60,60
0.172947,72,60,72
0.154577,72,60,84
0.265173,72,72,0
0.25247,72,72,12
0.236715,72,72,24
0.232406,72,72,36
0.221152,72,72,48
0.201145,72,72,60
0.188789,72,72,72
0.183983,72,72,84
0.295619,72,84,0
0.277984,72,84,12
0.266997,72,84,24
0.255072,72,84,36
0.235326,72,84,48
0.224137,72,84,60
0.220918,72,84,72
0.205141,72,84,84
0.126354,84,0,0
0.124292,84,0,12
0.108658,84,0,24
0.094164,84,0,36
0.093353,84,0,48
0.080984,84,0,60
0.059542,84,0,72
0.044557,84,0,84
0.158385,84,12,0
0.143686,84,12,12
0.138615,84,12,24
0.128831,84,12,36
0.109164,84,12,48
0.091248,84,12,60
0.092449,84,12,72
0.076691,84,12,84
0.188108,84,24,0
0.173461,84,24,12
0.154509,84,24,24
0.154569,84,24,36
0.139677,84,24,48
0.126822,84,24,60
0.109346,84,24,72
0.093028,84,24,84
0.202503,84,36,0
0.191648,84,36,12
0.186909,84,36,24
0.170651,84,36,36
0.154566,84,36,48
0.138228,84,36,60
0.125777,84,36,72
0.128245,84,36,84
0.234227,84,48,0
0.218973,84,48,12
0.208843,84,48,24
0.186659,84,48,36
0.184449,84,48,48
0.174778,84,48,60
0.15965,84,48,72
0.153933,84,48,84
0.249204,84,60,0
0.247539,84,60,12
0.234631,84,60,24
0.218625,84,60,36
0.202567,84,60,48
0.198263,84,60,60
0.171869,84,60,72
0.173626,84,60,84
0.281997,84,72,0
0.263494,84,72,12
0.24843,84,72,24
0.236199,84,72,36
