time,var_1_int,var_2_int,var_3_int,var_4_int,var_1_value,var_2_value,var_3_value,var_4_value
0.077171,0,0,0,0,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.00
0.078806,0,0,0,5,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.05
0.078998,0,0,0,10,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.10
0.076783,0,0,0,15,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.15
0.061882,0,0,0,20,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.20
0.079999,0,0,0,25,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.25
0.064043,0,0,0,30,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.30
0.07816,0,0,0,35,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.35
0.063807,0,0,0,40,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.40
0.061912,0,0,0,45,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.45
0.061723,0,0,0,50,--text-len 100000,--pattern-len 4,--alphabet 2,--mutation-rate 0.50
0.0626,0,0,3,0,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.00
0.078064,0,0,3,5,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.05
0.07868,0,0,3,10,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.10
0.078225,0,0,3,15,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.15
0.08023,0,0,3,20,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.20
0.063851,0,0,3,25,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.25
0.079162,0,0,3,30,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.30
0.063579,0,0,3,35,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.35
0.078687,0,0,3,40,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.40
0.080079,0,0,3,45,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.45
0.07917,0,0,3,50,--text-len 100000,--pattern-len 4,--alphabet 8,--mutation-rate 0.50
0.078157,0,0,6,0,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.00
0.063616,0,0,6,5,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.05
0.06364,0,0,6,10,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.10
0.063892,0,0,6,15,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.15
0.079204,0,0,6,20,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.20
0.062459,0,0,6,25,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.25
0.063276,0,0,6,30,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.30
0.061755,0,0,6,35,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.35
0.061611,0,0,6,40,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.40
0.061622,0,0,6,45,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.45
0.063951,0,0,6,50,--text-len 100000,--pattern-len 4,--alphabet 14,--mutation-rate 0.50
0.063535,0,0,9,0,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.00
0.062776,0,0,9,5,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.05
0.062596,0,0,9,10,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.10
0.062607,0,0,9,15,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.15
0.06242,0,0,9,20,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.20
0.062624,0,0,9,25,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.25
0.062994,0,0,9,30,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.30
0.062594,0,0,9,35,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.35
0.06353,0,0,9,40,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.40
0.063101,0,0,9,45,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.45
0.062492,0,0,9,50,--text-len 100000,--pattern-len 4,--alphabet 20,--mutation-rate 0.50
0.062172,0,0,12,0,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.00
0.062325,0,0,12,5,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.05
0.062696,0,0,12,10,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.10
0.061768,0,0,12,15,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.15
0.077074,0,0,12,20,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.20
0.062897,0,0,12,25,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.25
0.061885,0,0,12,30,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.30
0.062821,0,0,12,35,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.35
0.059975,0,0,12,40,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.40
0.062236,0,0,12,45,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.45
0.062002,0,0,12,50,--text-len 100000,--pattern-len 4,--alphabet 26,--mutation-rate 0.50
0.062428,0,0,15,0,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.00
0.094235,0,0,15,5,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.05
0.06336,0,0,15,10,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.10
0.062533,0,0,15,15,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.15
0.063114,0,0,15,20,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.20
0.062585,0,0,15,25,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.25
0.078257,0,0,15,30,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.30
0.061969,0,0,15,35,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.35
0.077752,0,0,15,40,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.40
0.061671,0,0,15,45,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.45
0.063175,0,0,15,50,--text-len 100000,--pattern-len 4,--alphabet 32,--mutation-rate 0.50
0.062625,0,0,18,0,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.00
0.078271,0,0,18,5,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.05
0.079566,0,0,18,10,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.10
0.062033,0,0,18,15,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.15
0.06315,0,0,18,20,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.20
0.079026,0,0,18,25,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.25
0.078796,0,0,18,30,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.30
0.079611,0,0,18,35,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.35
0.062618,0,0,18,40,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.40
0.062899,0,0,18,45,--text-len 100000,--pattern-len 4,--alphabet 38,--mutation-rate 0.45
